ID,disableParam_NT,disableParamReserve1,disableParamReserve2,weatherType0,weatherType1,weatherType2,weatherType3,weatherType4,weatherType5,weatherType6,weatherType7,weatherType8,weatherType9,weatherType10,weatherType11,weatherType12,weatherType13,weatherType14,weatherType15,lotteryWeight0,lotteryWeight1,lotteryWeight2,lotteryWeight3,lotteryWeight4,lotteryWeight5,lotteryWeight6,lotteryWeight7,lotteryWeight8,lotteryWeight9,lotteryWeight10,lotteryWeight11,lotteryWeight12,lotteryWeight13,lotteryWeight14,lotteryWeight15,timezoneLimit,timezoneStartHour,timezoneStartMinute,timezoneEndHour,timezoneEndMinute,reserve
100000000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
180000000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
300200000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,700,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
300400000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,700,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
310300000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,700,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
311500000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,700,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
320100000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,700,0,0,200,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
600000000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
604851000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,0,0,0,0,0,0,0,1000,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
604851001,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,System.Byte[]
610000000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,20,380,200,200,150,40,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
610000001,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,20,280,100,100,50,40,10,0,0,400,0,0,0,0,0,0,6,5,30,6,29,System.Byte[]
611000000,0,0,System.Byte[],1,0,10,11,20,21,30,40,41,50,51,60,60,-1,-1,-1,0,600,0,0,300,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
