ID,disableParam_NT,disableParamReserve1,disableParamReserve2,matchAreaId,pad1
1051360040,0,0,System.Byte[],4000,System.Byte[]
1051370040,0,0,System.Byte[],4000,System.Byte[]
1049380041,0,0,System.Byte[],4200,System.Byte[]
1051410040,0,0,System.Byte[],4200,System.Byte[]
1049520840,0,0,System.Byte[],5000,System.Byte[]
1051560840,0,0,System.Byte[],5000,System.Byte[]
1053570840,0,0,System.Byte[],5000,System.Byte[]
1052520840,0,0,System.Byte[],5000,System.Byte[]
1051570841,0,0,System.Byte[],5000,System.Byte[]
1051570840,0,0,System.Byte[],5000,System.Byte[]
