ID,disableParam_NT,disableParamReserve1,disableParamReserve2,hangPosType,isSkeletonBind,pad0,right_0,left_0,both_0,leftHang_0,rightHang_0,right_1,left_1,both_1,leftHang_1,rightHang_1,right_2,left_2,both_2,leftHang_2,rightHang_2,right_3,left_3,both_3,leftHang_3,rightHang_3,wepInvisibleType_0,wepInvisibleType_1,wepInvisibleType_2,wepInvisibleType_3,leftBoth_0,leftBoth_1,leftBoth_2,leftBoth_3,dispPosType_right_0,dispPosType_left_0,dispPosType_rightBoth_0,dispPosType_leftBoth_0,dispPosType_rightHang_0,dispPosType_leftHang_0,dispPosType_right_1,dispPosType_left_1,dispPosType_rightBoth_1,dispPosType_leftBoth_1,dispPosType_rightHang_1,dispPosType_leftHang_1,dispPosType_right_2,dispPosType_left_2,dispPosType_rightBoth_2,dispPosType_leftBoth_2,dispPosType_rightHang_2,dispPosType_leftHang_2,dispPosType_right_3,dispPosType_left_3,dispPosType_rightBoth_3,dispPosType_leftBoth_3,dispPosType_rightHang_3,dispPosType_leftHang_3,reserve
10,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
11,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
12,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
13,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
14,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
15,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
16,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
17,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
18,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
19,0,0,System.Byte[],0,0,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,System.Byte[]
20,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,2030,2031,2030,2031,2030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,2031,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
21,0,0,System.Byte[],2,0,System.Byte[],20,21,24,2036,2035,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
22,0,0,System.Byte[],0,0,System.Byte[],115,116,115,2063,2064,2118,2119,2117,2119,2118,30,31,30,31,30,62,61,62,61,62,0,2,1,1,115,2117,31,61,0,0,0,0,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,System.Byte[]
23,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,2030,2031,2030,2031,2030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,2031,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
24,0,0,System.Byte[],3,0,System.Byte[],20,21,16,2114,2113,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,16,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
25,0,0,System.Byte[],2,0,System.Byte[],20,21,24,2036,2035,2035,2036,2035,2036,2035,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,2036,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
26,0,0,System.Byte[],2,0,System.Byte[],20,21,24,2036,2035,35,36,35,36,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,36,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
27,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,2030,2031,2030,2031,2030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,2031,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
28,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,2030,2031,2030,2031,2030,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,2031,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
29,0,0,System.Byte[],1,0,System.Byte[],20,21,24,2070,2069,2069,2070,2069,2070,2069,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,2070,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
30,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
31,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
32,0,0,System.Byte[],2,0,System.Byte[],20,21,24,2036,2035,35,36,35,36,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,36,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
33,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
34,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
35,0,0,System.Byte[],2,0,System.Byte[],20,21,24,2036,2035,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
36,0,0,System.Byte[],3,0,System.Byte[],20,21,24,2038,2037,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
37,0,0,System.Byte[],3,0,System.Byte[],20,21,24,2038,2037,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
38,0,0,System.Byte[],3,0,System.Byte[],20,21,24,2038,2037,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
39,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2031,2030,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
40,0,0,System.Byte[],2,0,System.Byte[],20,21,24,2036,2035,35,36,35,36,35,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,36,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
41,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2049,2050,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
42,0,0,System.Byte[],0,0,System.Byte[],115,116,115,2067,2065,2066,2068,2117,2068,2066,30,31,30,31,30,62,61,62,61,62,0,2,1,1,115,2117,31,61,0,0,0,0,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,System.Byte[]
43,0,0,System.Byte[],0,0,System.Byte[],20,21,24,2052,2051,51,52,51,52,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,52,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
44,0,0,System.Byte[],1,0,System.Byte[],18,19,21,2040,2040,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
45,0,0,System.Byte[],1,0,System.Byte[],20,21,21,2040,2040,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
46,0,0,System.Byte[],1,0,System.Byte[],20,21,24,2039,2041,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
47,0,0,System.Byte[],1,0,System.Byte[],97,98,415,2034,2033,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,415,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
48,0,0,System.Byte[],1,0,System.Byte[],22,23,25,2048,2047,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,25,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
49,0,0,System.Byte[],1,0,System.Byte[],22,23,25,2048,2047,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,25,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
50,0,0,System.Byte[],3,0,System.Byte[],29,28,24,2038,2037,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,24,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
51,0,0,System.Byte[],1,0,System.Byte[],18,19,21,2040,2040,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,21,31,-1,-1,0,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
260,0,0,System.Byte[],2,0,System.Byte[],20,21,20,2036,2035,35,36,21,2035,2036,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,2,0,0,20,21,-1,-1,0,1,0,0,3,3,3,3,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
410,0,0,System.Byte[],0,1,System.Byte[],0,-1,0,-1,-1,-1,0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
480,0,0,System.Byte[],1,0,System.Byte[],420,23,420,2048,2047,30,31,30,31,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,1,0,0,420,31,-1,-1,0,1,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,System.Byte[]
10000,0,0,System.Byte[],1,0,System.Byte[],20,21,24,31,30,30,31,21,31,30,30,31,30,31,30,31,30,31,30,31,0,2,1,1,24,21,31,30,0,1,0,0,3,3,3,3,1,1,3,3,3,3,1,1,3,3,3,3,3,3,3,3,System.Byte[]
