ID,disableParam_NT,disableParam_Debug,disableParamReserve1,disableParamReserve2,PlayMapId,RequireMapId0,RequireMapId1,RequireMapId2,RefCamPosHitPartsID,reserved_2,ClientDisableViewTimeForProgress,reserved,HitParts_0,HitParts_1
19000021,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],20200,-1
19000030,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],20300,-1
19000031,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],20300,-1
19000040,1,0,0,System.Byte[],19000000,0,0,0,900000,System.Byte[],93,System.Byte[],25300,-1
19000050,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
19000060,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
19000061,1,0,0,System.Byte[],11710000,0,0,0,-1,System.Byte[],30,System.Byte[],100,-1
19000070,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
19000071,1,0,0,System.Byte[],11710000,0,0,0,-1,System.Byte[],30,System.Byte[],300,-1
19000080,1,0,0,System.Byte[],19000000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
19000081,1,0,0,System.Byte[],11710000,0,0,0,-1,System.Byte[],30,System.Byte[],100,-1
31000000,1,0,0,System.Byte[],31000000,0,0,0,-1,System.Byte[],18,System.Byte[],-1,-1
31000001,1,0,0,System.Byte[],31000000,0,0,0,-1,System.Byte[],18,System.Byte[],-1,-1
34110000,1,0,0,System.Byte[],34110000,0,0,0,-1,System.Byte[],42,System.Byte[],100,-1
34110001,1,0,0,System.Byte[],34110000,0,0,0,-1,System.Byte[],34,System.Byte[],100,-1
34110010,1,0,0,System.Byte[],34110000,0,0,0,-1,System.Byte[],26,System.Byte[],900,-1
35000000,1,0,0,System.Byte[],35000000,0,0,0,-1,System.Byte[],103,System.Byte[],9000,-1
35000010,1,0,0,System.Byte[],35000000,0,0,0,-1,System.Byte[],19,System.Byte[],-1,-1
35000020,1,0,0,System.Byte[],35000000,0,0,0,-1,System.Byte[],35,System.Byte[],-1,-1
60370000,1,0,0,System.Byte[],60375400,0,0,0,375400,System.Byte[],40,System.Byte[],-1,-1
60380000,1,0,0,System.Byte[],60385000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60380001,1,0,0,System.Byte[],60385000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60380010,1,0,0,System.Byte[],60385000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60380011,1,0,0,System.Byte[],60385000,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420000,0,0,0,System.Byte[],60423600,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420001,0,0,0,System.Byte[],60433700,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420002,1,0,0,System.Byte[],60463800,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420003,0,0,0,System.Byte[],60413800,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420004,0,0,0,System.Byte[],60443500,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420005,0,0,0,System.Byte[],60423700,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420006,1,0,0,System.Byte[],60443400,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60420007,0,0,0,System.Byte[],60433500,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60430000,1,0,0,System.Byte[],18000000,0,0,0,1300,System.Byte[],30,System.Byte[],20000,-1
60490000,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490001,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490010,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490011,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490020,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490021,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490030,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60490031,1,0,0,System.Byte[],60495300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60500000,1,0,0,System.Byte[],60503800,0,0,0,-1,System.Byte[],11,System.Byte[],-1,-1
60510000,1,0,0,System.Byte[],60513600,0,0,0,-1,System.Byte[],66,System.Byte[],-1,-1
60510010,1,0,0,System.Byte[],60523900,0,0,0,523900,System.Byte[],30,System.Byte[],-1,-1
60510011,1,0,0,System.Byte[],60513800,0,0,0,513801,System.Byte[],30,System.Byte[],-1,-1
60520010,1,0,0,System.Byte[],60525300,0,0,0,525200,System.Byte[],62,System.Byte[],-1,-1
60540000,1,0,0,System.Byte[],60545300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60540001,1,0,0,System.Byte[],60545300,0,0,0,-1,System.Byte[],30,System.Byte[],-1,-1
60540010,1,0,0,System.Byte[],13000000,0,0,0,-1,System.Byte[],30,System.Byte[],20100,-1
60540011,1,0,0,System.Byte[],13000000,0,0,0,-1,System.Byte[],30,System.Byte[],20100,-1
