ID,radius,lifeFrame,bSpEffectEnable,type,opposeTarget,friendlyTarget,selfTarget,disableOnTargetPCompany,rank,forgetTime,priority,soundBehaviorId,aiSoundLevel,replaningState,pad1
3030,20,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
3100,7,1,0,0,1,0,0,0,0,-1,100,-1,40,0,System.Byte[]
4000,30,1,0,0,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
4010,5,1,0,0,0,1,0,0,1,-1,200,-1,50,0,System.Byte[]
4020,30,1,0,0,0,1,0,0,1,-1,200,-1,50,0,System.Byte[]
4050,60,1,0,0,0,1,0,0,7,40,50,407000,50,0,System.Byte[]
4100,10,1,0,0,0,1,0,0,7,7,100,410000,50,0,System.Byte[]
4130,40,1,0,0,0,1,0,0,7,7,2000,413000,50,0,System.Byte[]
4131,40,1,0,0,0,1,0,0,7,7,2000,413001,50,0,System.Byte[]
4132,40,1,0,0,0,1,0,0,7,7,2000,413002,50,0,System.Byte[]
4133,40,1,0,0,0,1,0,0,7,7,2000,413003,50,0,System.Byte[]
4134,40,1,0,0,0,1,0,0,7,7,2000,413004,50,0,System.Byte[]
4135,40,1,0,0,0,1,0,0,7,7,2000,413005,50,0,System.Byte[]
4136,40,1,0,0,0,1,0,0,7,3,2000,413006,50,0,System.Byte[]
4200,20,1,0,0,0,1,0,0,7,10,1000,420000,50,0,System.Byte[]
4201,80,1,0,0,0,1,0,0,7,10,2000,420001,50,0,System.Byte[]
4300,30,1,0,0,0,1,0,0,7,10,200,300000,50,0,System.Byte[]
4310,30,1,0,0,0,1,0,0,7,10,200,300000,50,0,System.Byte[]
5000,5,1,0,0,1,1,0,0,0,-1,100,-1,50,0,System.Byte[]
6100,25,1,0,0,1,0,0,0,1,10,200,-1,50,0,System.Byte[]
6200,40,1,0,0,1,1,0,0,7,10,2000,450000,50,0,System.Byte[]
6201,40,1,0,0,1,1,0,0,7,50,2000,450001,50,0,System.Byte[]
6202,40,1,0,0,1,1,0,0,7,10,2000,450002,50,0,System.Byte[]
6203,40,1,0,0,1,1,0,0,7,50,2000,450003,50,0,System.Byte[]
6300,150,1,0,0,0,1,1,0,7,20,2000,400000,50,0,System.Byte[]
6301,150,1,0,0,0,1,0,0,7,20,2000,400002,50,0,System.Byte[]
6320,150,1,0,0,0,1,0,0,7,15,2000,-1,50,0,System.Byte[]
6321,100,1,0,0,0,1,0,0,7,10,2000,400001,50,0,System.Byte[]
6390,1,1,0,0,0,0,1,0,7,0.1,2000,-1,50,0,System.Byte[]
6391,150,1,0,0,0,1,0,0,7,0.1,2000,-1,50,0,System.Byte[]
6400,100,60,0,0,1,1,0,0,7,10,2000,900000,50,0,System.Byte[]
6410,40,1,0,0,1,1,0,0,7,50,2000,430050,50,0,System.Byte[]
6500,20,1,0,0,0,1,0,0,1,-1,200,-1,50,0,System.Byte[]
6600,300,5,0,0,0,1,0,0,7,-1,2000,901000,1,0,System.Byte[]
6610,20,0.5,0,0,0,1,0,0,7,3,2000,902000,1,2,System.Byte[]
7000,50,5,0,0,1,1,0,0,1,20,1000,-1,1,1,System.Byte[]
203000,100,1,0,0,0,1,0,0,7,10,2000,203000,1,0,System.Byte[]
203100,7,1,0,0,0,1,0,0,7,1,2000,-1,1,0,System.Byte[]
212000,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212001,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212002,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212003,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212004,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212005,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212006,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212007,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212008,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212009,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212010,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212011,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212012,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212013,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212014,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212015,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212016,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212017,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212018,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212019,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212020,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212021,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212022,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212023,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212024,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212025,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212026,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212027,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212028,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212029,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212030,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212031,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212032,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212033,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212034,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212035,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212036,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212037,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212038,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
212039,100,0.1,0,0,1,1,0,0,7,0.2,2000,212000,1,2,System.Byte[]
307000,5,1,0,0,0,1,0,0,7,7,100,307000,50,0,System.Byte[]
307001,15,1,0,0,0,1,0,0,7,7,100,307001,50,0,System.Byte[]
307002,25,1,0,0,0,1,0,0,7,7,100,307002,50,0,System.Byte[]
337000,100,1,0,0,0,1,0,0,7,5,2000,337000,1,0,System.Byte[]
337001,30,1,0,0,0,1,0,0,7,10,2000,337001,1,0,System.Byte[]
356000,10,1,0,0,0,1,0,0,7,2,2000,356000,50,0,System.Byte[]
357000,10,1,0,0,0,1,0,0,7,2,2000,357000,50,0,System.Byte[]
357001,10,1,0,0,0,1,0,0,7,2,2000,357001,50,0,System.Byte[]
365000,12,1,0,0,0,1,0,0,7,15,2000,365000,50,0,System.Byte[]
366000,30,1,0,0,0,1,0,0,7,5,2000,366000,50,0,System.Byte[]
366100,8,1,0,0,0,1,1,0,7,5,2000,366100,50,2,System.Byte[]
366110,15,1,0,0,0,1,1,0,7,60,2000,366110,50,2,System.Byte[]
367000,5,1,0,0,0,1,0,0,7,7,1000,367000,50,0,System.Byte[]
367001,15,1,0,0,0,1,0,0,7,7,1000,367001,50,0,System.Byte[]
367002,25,1,0,0,0,1,0,0,7,7,1000,367002,50,0,System.Byte[]
375000,10,1,0,0,0,1,0,0,7,7,2000,375000,50,0,System.Byte[]
385000,13,1,0,0,0,1,0,0,0,-1,100,-1,50,0,System.Byte[]
395000,40,1,0,0,0,1,0,0,7,40,1000,395000,50,0,System.Byte[]
397000,40,1,0,0,0,1,0,0,7,20,1000,397000,50,0,System.Byte[]
407000,20,1,0,0,0,1,0,0,7,3,1000,407000,50,0,System.Byte[]
418000,20,1,0,0,1,1,0,0,7,10,1000,418000,1,0,System.Byte[]
420100,5,1,0,0,0,1,0,0,7,2.5,2000,420100,50,0,System.Byte[]
420101,15,1,0,0,0,1,0,0,7,2.5,2000,420101,50,0,System.Byte[]
420102,25,1,0,0,0,1,0,0,7,2.5,2000,420102,50,0,System.Byte[]
430000,10,1,0,0,0,1,0,0,7,7,100,430000,50,0,System.Byte[]
430001,20,1,0,0,0,1,0,0,7,7,100,430001,50,0,System.Byte[]
430002,30,1,0,0,0,1,0,0,7,7,100,430002,50,0,System.Byte[]
430003,40,1,0,0,0,1,0,0,7,7,100,430003,50,0,System.Byte[]
430004,50,1,0,0,0,1,0,0,7,7,100,430004,50,0,System.Byte[]
430005,60,1,0,0,0,1,0,0,7,7,100,430005,50,0,System.Byte[]
431000,50,1,0,0,0,1,0,0,7,10,50,431000,50,0,System.Byte[]
431001,50,1,0,0,0,1,0,0,7,10,50,431001,50,0,System.Byte[]
431002,50,1,0,0,0,1,0,0,7,10,50,431002,50,0,System.Byte[]
432100,25,1,0,0,1,1,0,0,7,10,200,432100,50,0,System.Byte[]
432101,12,1,0,0,0,1,1,0,7,8,2000,432101,50,2,System.Byte[]
432102,12,1,0,0,0,1,1,0,7,8,2000,432102,50,2,System.Byte[]
434000,30,1,0,0,0,1,0,0,7,10,50,434000,50,0,System.Byte[]
438300,5,1,0,0,0,1,0,0,7,7,100,438300,50,0,System.Byte[]
438301,15,1,0,0,0,1,0,0,7,7,100,438301,50,0,System.Byte[]
438302,25,1,0,0,0,1,0,0,7,7,100,438302,50,0,System.Byte[]
452000,100,1,0,0,1,1,1,0,7,1,2000,452000,1,2,System.Byte[]
452001,100,1,0,0,1,1,1,0,7,1,2000,452001,1,2,System.Byte[]
452002,100,1,0,0,1,1,1,0,7,1,2000,452002,1,2,System.Byte[]
452003,100,1,0,0,1,1,1,0,7,1,2000,452003,1,2,System.Byte[]
452004,100,1,0,0,1,1,1,0,7,1,2000,452004,1,2,System.Byte[]
455000,100,1,0,0,0,1,0,0,7,30,1000,455000,50,0,System.Byte[]
456000,20,1,1,0,1,1,0,0,7,15,1000,455001,50,0,System.Byte[]
462000,999,1,0,0,0,1,0,0,7,1,2000,462000,1,2,System.Byte[]
462001,999,1,0,0,0,1,0,0,7,1,2000,462000,1,2,System.Byte[]
462010,999,1,0,0,0,1,0,0,7,1,2000,462010,1,2,System.Byte[]
462011,999,1,0,0,0,1,0,0,7,1,2000,462010,1,2,System.Byte[]
462020,999,1,0,0,0,1,0,0,7,1,2000,462020,1,2,System.Byte[]
462021,999,1,0,0,0,1,0,0,7,1,2000,462020,1,2,System.Byte[]
462030,999,1,0,0,0,1,0,0,7,1,2000,462030,1,2,System.Byte[]
462031,999,1,0,0,0,1,0,0,7,1,2000,462030,1,2,System.Byte[]
463000,150,1,0,0,1,1,0,0,7,1,200,463000,50,0,System.Byte[]
467000,1.2,1,0,0,0,1,0,0,7,1,2000,467000,1,0,System.Byte[]
477000,100,1,0,0,1,1,0,0,7,0.1,2000,477000,1,2,System.Byte[]
495000,500,1,0,0,0,1,0,0,7,1,2000,495000,1,2,System.Byte[]
496000,100,1,0,0,0,1,0,0,7,1,2000,496000,1,2,System.Byte[]
603000,70,1,0,0,1,1,0,0,7,10,100,300000,50,0,System.Byte[]
603070,30,1,0,0,1,1,0,0,7,6,100,307000,50,0,System.Byte[]
603370,70,1,0,0,1,1,0,0,7,10,100,337000,50,0,System.Byte[]
603670,70,1,0,0,1,1,0,0,7,10,100,367000,50,0,System.Byte[]
603950,70,1,0,0,1,1,0,0,7,10,100,395000,50,0,System.Byte[]
603970,70,1,0,0,1,1,0,0,7,10,100,397000,50,0,System.Byte[]
604070,50,1,0,0,1,1,0,0,7,10,100,407001,50,0,System.Byte[]
604100,30,1,0,0,1,1,0,0,7,6,100,410000,50,0,System.Byte[]
604300,30,1,0,0,1,1,0,0,7,6,100,430000,50,0,System.Byte[]
604310,70,1,0,0,1,1,0,0,7,10,100,431001,50,0,System.Byte[]
604370,70,1,0,0,1,1,0,0,7,10,100,431001,50,0,System.Byte[]
604383,30,1,0,0,1,1,0,0,7,6,100,438300,50,0,System.Byte[]
604550,100,1,0,0,1,1,0,0,7,10,100,455000,50,0,System.Byte[]
607000,70,1,0,0,1,1,0,0,7,10,100,470000,50,0,System.Byte[]
700000,20,1,0,0,0,1,0,0,1,1,200,-1,1,2,System.Byte[]
900000,200,8,0,0,0,1,0,0,6,-1,99999,-1,50,0,System.Byte[]
900200,20,1,0,0,0,1,0,0,1,-1,200,-1,50,0,System.Byte[]
900300,0,1,0,0,1,0,0,0,0,-1,100,-1,50,0,System.Byte[]
900400,1,1,0,0,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
900500,1,1,0,0,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
900600,13,1,0,0,1,0,0,0,9,-1,99999,-1,50,0,System.Byte[]
900700,5,1,0,0,1,0,0,0,2,-1,99999,-1,50,0,System.Byte[]
900800,0,1,0,0,1,0,0,0,1,-1,200,-1,50,0,System.Byte[]
999900,20,1,0,0,1,0,0,0,2,5,99999,-1,1,0,System.Byte[]
999901,20,1,0,0,1,0,0,0,4,5,99999,-1,1,0,System.Byte[]
999902,20,1,0,0,1,0,0,0,5,5,99999,-1,1,0,System.Byte[]
999903,20,1,0,0,1,0,0,0,8,5,99999,-1,1,0,System.Byte[]
999904,20,1,0,0,1,0,0,0,9,5,99999,-1,1,0,System.Byte[]
999910,20,1,0,0,1,0,0,1,2,5,99999,-1,1,0,System.Byte[]
999911,20,1,0,0,1,0,0,1,4,5,99999,-1,1,0,System.Byte[]
999912,20,1,0,0,1,0,0,1,5,5,99999,-1,1,0,System.Byte[]
999913,20,1,0,0,1,0,0,1,8,5,99999,-1,1,0,System.Byte[]
999914,20,1,0,0,1,0,0,1,9,5,99999,-1,1,0,System.Byte[]
999999999,0,0,0,0,1,0,0,0,0,-1,100,-1,0,0,System.Byte[]
