ID,baseRec_mp,baseRec_sp,red_Falldam,soul,equip_Wep_Right,equip_Subwep_Right,equip_Wep_Left,equip_Subwep_Left,equip_Helm,equip_Armer,equip_Gaunt,equip_Leg,equip_Arrow,equip_Bolt,equip_SubArrow,equip_SubBolt,equip_Accessory01,equip_Accessory02,equip_Accessory03,equip_Accessory04,pad8,elixir_material00,elixir_material01,elixir_material02,equip_Spell_01,equip_Spell_02,equip_Spell_03,equip_Spell_04,equip_Spell_05,equip_Spell_06,equip_Spell_07,item_01,item_02,item_03,item_04,item_05,item_06,item_07,item_08,item_09,item_10,npcPlayerFaceGenId,npcPlayerThinkId,baseHp,baseMp,baseSp,arrowNum,boltNum,subArrowNum,subBoltNum,pad4,soulLv,baseVit,baseWil,baseEnd,baseStr,baseDex,baseMag,baseFai,baseLuc,baseHeroPoint,baseDurability,itemNum_01,itemNum_02,itemNum_03,itemNum_04,itemNum_05,itemNum_06,itemNum_07,itemNum_08,itemNum_09,itemNum_10,pad5,gestureId0,gestureId1,gestureId2,gestureId3,gestureId4,gestureId5,gestureId6,npcPlayerType,npcPlayerDrawType,npcPlayerSex,vowType,isSyncTarget,pad,pad6,wepParamType_Right1,wepParamType_Right2,wepParamType_Right3,wepParamType_Left1,wepParamType_Left2,wepParamType_Left3,pad2,equip_Subwep_Right3,equip_Subwep_Left3,pad3,secondaryItem_01,secondaryItem_02,secondaryItem_03,secondaryItem_04,secondaryItem_05,secondaryItem_06,secondaryItemNum_01,secondaryItemNum_02,secondaryItemNum_03,secondaryItemNum_04,secondaryItemNum_05,secondaryItemNum_06,HpEstMax,MpEstMax,pad7,voiceType,reserve
1000,0,0,0,0,500,-1,500,30000000,670000,670100,670200,670300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,20,0,0,0,0,0,0,0,0,System.Byte[],5,12,10,13,11,15,9,7,10,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],0,7,50,70,80,53,92,0,0,1,0,0,0,System.Byte[],1,0,0,1,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1001,0,0,0,0,500,-1,500,30000000,670000,670100,670200,670300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,21,0,0,0,0,0,0,0,0,System.Byte[],5,12,10,13,11,15,9,7,10,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],0,7,50,70,80,53,92,0,0,0,0,0,0,System.Byte[],1,0,0,1,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1010,0,0,0,0,501,-1,33210000,31190000,980000,981100,980200,980300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,4000,4450,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,22,0,0,0,0,0,0,0,0,System.Byte[],5,10,13,11,15,12,16,5,5,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],2,7,50,70,80,98,92,0,0,1,0,0,0,System.Byte[],1,0,0,0,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1011,0,0,0,0,501,-1,33210000,31190000,980000,981100,980200,980300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,4000,4450,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,23,0,0,0,0,0,0,0,0,System.Byte[],5,10,13,11,15,12,16,5,5,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],2,7,50,70,80,98,92,0,0,0,0,0,0,System.Byte[],1,0,0,0,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1020,0,0,0,0,11010000,34040000,503,-1,620000,620100,-1,620300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,6421,6820,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,24,0,0,0,0,0,0,0,0,System.Byte[],5,9,16,10,12,9,8,16,7,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],1,7,50,70,80,101,92,0,0,1,0,0,0,System.Byte[],0,0,0,1,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1021,0,0,0,0,11010000,34040000,503,-1,620000,620100,-1,620300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,6421,6820,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,25,0,0,0,0,0,0,0,0,System.Byte[],5,9,16,10,12,9,8,16,7,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],1,7,50,70,80,101,92,0,0,0,0,0,0,System.Byte[],0,0,0,1,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1030,0,0,0,0,14000000,-1,34000000,30070000,730000,730100,730200,730300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,7000,-1,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,26,0,0,0,0,0,0,0,0,System.Byte[],5,13,9,12,14,8,5,15,11,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],9,7,50,70,80,54,92,0,0,1,0,0,0,System.Byte[],0,0,0,0,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1031,0,0,0,0,14000000,-1,34000000,30070000,730000,730100,730200,730300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,7000,-1,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,27,0,0,0,0,0,0,0,0,System.Byte[],5,13,9,12,14,8,5,15,11,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],9,7,50,70,80,54,92,0,0,0,0,0,0,System.Byte[],0,0,0,0,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1040,0,0,0,0,504,-1,30120000,-1,860000,861100,860200,860300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,28,0,0,0,0,0,0,0,0,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],4,7,50,70,80,52,92,0,0,1,0,0,0,System.Byte[],1,0,0,0,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1041,0,0,0,0,504,-1,30120000,-1,860000,861100,860200,860300,-1,-1,-1,-1,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,-1,-1,-1,-1,-1,-1,-1,-1,29,0,0,0,0,0,0,0,0,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,2,0,0,0,0,0,0,0,0,System.Byte[],4,7,50,70,80,52,92,0,0,0,0,0,0,System.Byte[],1,0,0,0,0,0,System.Byte[],-1,-1,System.Byte[],115,-1,-1,-1,-1,-1,1,0,0,0,0,0,2,2,System.Byte[],0,System.Byte[]
1050,0,0,0,50000,2000,2001,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2002,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1051,0,0,0,50000,2003,2004,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2005,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1052,0,0,0,50000,2040,2041,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2046,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1053,0,0,0,50000,2042,2045,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2047,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1054,0,0,0,50000,2048,-1,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1055,0,0,0,50000,2090,2102,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2103,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1056,0,0,0,50000,2091,2095,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2104,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1057,0,0,0,50000,2105,2099,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2100,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1058,0,0,0,50000,2110,2114,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2112,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1059,0,0,0,50000,2113,2115,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2116,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1060,0,0,0,50000,2117,2118,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1061,0,0,0,50000,2120,2121,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2123,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1062,0,0,0,50000,2127,2129,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2122,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1063,0,0,0,50000,2132,2130,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2136,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1064,0,0,0,50000,2137,-1,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1065,0,0,0,50000,2150,2151,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2153,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1066,0,0,0,50000,2156,2157,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2152,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1067,0,0,0,50000,2460,2461,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2463,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
1068,0,0,0,50000,2462,2464,31000000,-1,860000,861100,860200,860300,50000000,52000000,50010000,52020000,-1,-1,-1,-1,System.Byte[],-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,201,221,130,300,1700,800,1400,-1,-1,-1,1,0,0,0,0,99,99,99,99,System.Byte[],5,14,11,12,16,12,7,9,6,0,7,2,1,1,10,10,1,99,0,0,0,System.Byte[],0,1,2,3,4,5,6,0,0,1,0,0,0,System.Byte[],1,1,1,0,1,1,System.Byte[],2465,-1,System.Byte[],-1,-1,-1,-1,-1,-1,0,0,0,0,0,0,3,3,System.Byte[],0,System.Byte[]
