ID,disableParam_NT,disableParamReserve1,disableParamReserve2,mapRegionId,Reserve
31200000,1,0,System.Byte[],3120,System.Byte[]
31210000,1,0,System.Byte[],3121,System.Byte[]
31220000,1,0,System.Byte[],3122,System.Byte[]
32000000,1,0,System.Byte[],3200,System.Byte[]
32010000,0,0,System.Byte[],3201,System.Byte[]
32020000,1,0,System.Byte[],3202,System.Byte[]
32030000,1,0,System.Byte[],3203,System.Byte[]
32040000,1,0,System.Byte[],3204,System.Byte[]
32050000,1,0,System.Byte[],3205,System.Byte[]
32060000,1,0,System.Byte[],3206,System.Byte[]
32070000,1,0,System.Byte[],3207,System.Byte[]
32080000,1,0,System.Byte[],3208,System.Byte[]
32090000,1,0,System.Byte[],3209,System.Byte[]
32100000,1,0,System.Byte[],3210,System.Byte[]
32110000,1,0,System.Byte[],3211,System.Byte[]
32120000,1,0,System.Byte[],3212,System.Byte[]
34100000,1,0,System.Byte[],3410,System.Byte[]
34110000,1,0,System.Byte[],3411,System.Byte[]
34120000,1,0,System.Byte[],3412,System.Byte[]
34130000,1,0,System.Byte[],3413,System.Byte[]
34140000,1,0,System.Byte[],3414,System.Byte[]
34150000,1,0,System.Byte[],3415,System.Byte[]
34160000,1,0,System.Byte[],3416,System.Byte[]
35000000,1,0,System.Byte[],3500,System.Byte[]
39200000,1,0,System.Byte[],3920,System.Byte[]
50523700,1,0,System.Byte[],31,System.Byte[]
60081002,1,0,System.Byte[],10,System.Byte[]
60081102,1,0,System.Byte[],10,System.Byte[]
60081202,1,0,System.Byte[],10,System.Byte[]
60091002,1,0,System.Byte[],10,System.Byte[]
60091102,1,0,System.Byte[],10,System.Byte[]
60182401,1,0,System.Byte[],10,System.Byte[]
60191901,1,0,System.Byte[],10,System.Byte[]
60192401,1,0,System.Byte[],10,System.Byte[]
60202001,1,0,System.Byte[],10,System.Byte[]
60202201,1,0,System.Byte[],10,System.Byte[]
60232001,1,0,System.Byte[],30,System.Byte[]
60241801,1,0,System.Byte[],30,System.Byte[]
60241901,1,0,System.Byte[],30,System.Byte[]
60242001,1,0,System.Byte[],30,System.Byte[]
60251701,1,0,System.Byte[],30,System.Byte[]
60251801,1,0,System.Byte[],30,System.Byte[]
60251901,1,0,System.Byte[],30,System.Byte[]
60252001,1,0,System.Byte[],30,System.Byte[]
60252101,1,0,System.Byte[],30,System.Byte[]
60252201,1,0,System.Byte[],30,System.Byte[]
60261701,1,0,System.Byte[],30,System.Byte[]
60261801,1,0,System.Byte[],31,System.Byte[]
60261901,1,0,System.Byte[],31,System.Byte[]
60262001,1,0,System.Byte[],30,System.Byte[]
60262101,1,0,System.Byte[],30,System.Byte[]
60262201,1,0,System.Byte[],30,System.Byte[]
60345200,1,0,System.Byte[],21,System.Byte[]
60345300,1,0,System.Byte[],21,System.Byte[]
60345400,1,0,System.Byte[],21,System.Byte[]
60345500,1,0,System.Byte[],21,System.Byte[]
60355200,1,0,System.Byte[],21,System.Byte[]
60355300,1,0,System.Byte[],21,System.Byte[]
60355400,1,0,System.Byte[],21,System.Byte[]
60355500,1,0,System.Byte[],21,System.Byte[]
60365000,1,0,System.Byte[],10,System.Byte[]
60365100,1,0,System.Byte[],20,System.Byte[]
60365200,1,0,System.Byte[],21,System.Byte[]
60365300,1,0,System.Byte[],21,System.Byte[]
60365400,1,0,System.Byte[],21,System.Byte[]
60365500,1,0,System.Byte[],21,System.Byte[]
60375000,1,0,System.Byte[],10,System.Byte[]
60375100,1,0,System.Byte[],20,System.Byte[]
60375200,1,0,System.Byte[],21,System.Byte[]
60375300,1,0,System.Byte[],21,System.Byte[]
60375400,1,0,System.Byte[],21,System.Byte[]
60375500,1,0,System.Byte[],21,System.Byte[]
60385000,1,0,System.Byte[],10,System.Byte[]
60385100,1,0,System.Byte[],20,System.Byte[]
60385200,1,0,System.Byte[],20,System.Byte[]
60385300,1,0,System.Byte[],21,System.Byte[]
60385400,1,0,System.Byte[],21,System.Byte[]
60385500,1,0,System.Byte[],21,System.Byte[]
60395000,1,0,System.Byte[],20,System.Byte[]
60395100,1,0,System.Byte[],20,System.Byte[]
60395200,1,0,System.Byte[],20,System.Byte[]
60395300,1,0,System.Byte[],20,System.Byte[]
60395400,1,0,System.Byte[],20,System.Byte[]
60395500,1,0,System.Byte[],20,System.Byte[]
60405000,1,0,System.Byte[],20,System.Byte[]
60405100,1,0,System.Byte[],20,System.Byte[]
60405200,1,0,System.Byte[],20,System.Byte[]
60405300,1,0,System.Byte[],20,System.Byte[]
60405400,1,0,System.Byte[],20,System.Byte[]
60405500,1,0,System.Byte[],20,System.Byte[]
60414900,1,0,System.Byte[],20,System.Byte[]
60415000,1,0,System.Byte[],20,System.Byte[]
60415100,1,0,System.Byte[],20,System.Byte[]
60415200,1,0,System.Byte[],20,System.Byte[]
60415300,1,0,System.Byte[],20,System.Byte[]
60415400,1,0,System.Byte[],20,System.Byte[]
60415500,1,0,System.Byte[],20,System.Byte[]
60424900,1,0,System.Byte[],20,System.Byte[]
60425000,1,0,System.Byte[],20,System.Byte[]
60425100,1,0,System.Byte[],20,System.Byte[]
60425200,1,0,System.Byte[],20,System.Byte[]
60425300,1,0,System.Byte[],20,System.Byte[]
60425400,1,0,System.Byte[],20,System.Byte[]
60425500,1,0,System.Byte[],20,System.Byte[]
60434900,1,0,System.Byte[],20,System.Byte[]
60435000,1,0,System.Byte[],20,System.Byte[]
60435100,1,0,System.Byte[],20,System.Byte[]
60435200,1,0,System.Byte[],20,System.Byte[]
60435300,1,0,System.Byte[],20,System.Byte[]
60435400,1,0,System.Byte[],20,System.Byte[]
60435500,1,0,System.Byte[],20,System.Byte[]
60444900,1,0,System.Byte[],20,System.Byte[]
60445000,1,0,System.Byte[],20,System.Byte[]
60445100,1,0,System.Byte[],20,System.Byte[]
60445200,1,0,System.Byte[],20,System.Byte[]
60445300,1,0,System.Byte[],20,System.Byte[]
60445400,1,0,System.Byte[],20,System.Byte[]
60445500,1,0,System.Byte[],20,System.Byte[]
60454900,1,0,System.Byte[],20,System.Byte[]
60455000,1,0,System.Byte[],20,System.Byte[]
60455100,1,0,System.Byte[],20,System.Byte[]
60455200,1,0,System.Byte[],20,System.Byte[]
60455300,1,0,System.Byte[],20,System.Byte[]
60455400,1,0,System.Byte[],20,System.Byte[]
60455500,1,0,System.Byte[],20,System.Byte[]
60464900,1,0,System.Byte[],20,System.Byte[]
60465000,1,0,System.Byte[],21,System.Byte[]
60465100,1,0,System.Byte[],20,System.Byte[]
60465200,1,0,System.Byte[],20,System.Byte[]
60465300,1,0,System.Byte[],20,System.Byte[]
60465500,1,0,System.Byte[],41,System.Byte[]
60465600,1,0,System.Byte[],41,System.Byte[]
60465700,1,0,System.Byte[],41,System.Byte[]
60465800,1,0,System.Byte[],41,System.Byte[]
60473600,1,0,System.Byte[],30,System.Byte[]
60473700,1,0,System.Byte[],30,System.Byte[]
60473800,1,0,System.Byte[],30,System.Byte[]
60473900,1,0,System.Byte[],30,System.Byte[]
60474200,1,0,System.Byte[],30,System.Byte[]
60474900,1,0,System.Byte[],20,System.Byte[]
60475000,1,0,System.Byte[],20,System.Byte[]
60475100,1,0,System.Byte[],42,System.Byte[]
60475400,1,0,System.Byte[],41,System.Byte[]
60475500,1,0,System.Byte[],41,System.Byte[]
60475600,1,0,System.Byte[],41,System.Byte[]
60475700,1,0,System.Byte[],41,System.Byte[]
60475800,1,0,System.Byte[],41,System.Byte[]
60485000,1,0,System.Byte[],42,System.Byte[]
60485100,1,0,System.Byte[],42,System.Byte[]
60485200,1,0,System.Byte[],42,System.Byte[]
60485300,1,0,System.Byte[],41,System.Byte[]
60485400,1,0,System.Byte[],41,System.Byte[]
60485500,1,0,System.Byte[],41,System.Byte[]
60485600,1,0,System.Byte[],41,System.Byte[]
60485700,1,0,System.Byte[],41,System.Byte[]
60485800,1,0,System.Byte[],41,System.Byte[]
60495000,1,0,System.Byte[],42,System.Byte[]
60495100,1,0,System.Byte[],42,System.Byte[]
60495200,1,0,System.Byte[],42,System.Byte[]
60495300,1,0,System.Byte[],40,System.Byte[]
60495400,1,0,System.Byte[],41,System.Byte[]
60495500,1,0,System.Byte[],41,System.Byte[]
60495600,1,0,System.Byte[],41,System.Byte[]
60495700,1,0,System.Byte[],41,System.Byte[]
60495800,1,0,System.Byte[],41,System.Byte[]
60505000,1,0,System.Byte[],42,System.Byte[]
60505200,1,0,System.Byte[],40,System.Byte[]
60505300,1,0,System.Byte[],40,System.Byte[]
60505400,1,0,System.Byte[],40,System.Byte[]
60505500,1,0,System.Byte[],40,System.Byte[]
60505600,1,0,System.Byte[],40,System.Byte[]
60505700,1,0,System.Byte[],40,System.Byte[]
60505800,1,0,System.Byte[],41,System.Byte[]
60515200,1,0,System.Byte[],40,System.Byte[]
60515300,1,0,System.Byte[],40,System.Byte[]
60515400,1,0,System.Byte[],40,System.Byte[]
60515500,1,0,System.Byte[],40,System.Byte[]
60515600,1,0,System.Byte[],40,System.Byte[]
60515700,1,0,System.Byte[],40,System.Byte[]
60515800,1,0,System.Byte[],40,System.Byte[]
60523800,1,0,System.Byte[],31,System.Byte[]
60523900,1,0,System.Byte[],31,System.Byte[]
60524000,1,0,System.Byte[],31,System.Byte[]
60525200,1,0,System.Byte[],40,System.Byte[]
60525300,1,0,System.Byte[],40,System.Byte[]
60525400,1,0,System.Byte[],40,System.Byte[]
60525500,1,0,System.Byte[],40,System.Byte[]
60525600,1,0,System.Byte[],40,System.Byte[]
60525700,1,0,System.Byte[],40,System.Byte[]
60525800,1,0,System.Byte[],40,System.Byte[]
60533700,1,0,System.Byte[],31,System.Byte[]
60533800,1,0,System.Byte[],31,System.Byte[]
60533900,1,0,System.Byte[],31,System.Byte[]
60535200,1,0,System.Byte[],40,System.Byte[]
60535300,1,0,System.Byte[],40,System.Byte[]
60535400,1,0,System.Byte[],40,System.Byte[]
60535500,1,0,System.Byte[],40,System.Byte[]
60535600,1,0,System.Byte[],40,System.Byte[]
60535700,1,0,System.Byte[],40,System.Byte[]
60535800,1,0,System.Byte[],40,System.Byte[]
60545200,1,0,System.Byte[],40,System.Byte[]
60545300,1,0,System.Byte[],40,System.Byte[]
60545400,1,0,System.Byte[],40,System.Byte[]
60545500,1,0,System.Byte[],40,System.Byte[]
60545600,1,0,System.Byte[],40,System.Byte[]
60545700,1,0,System.Byte[],40,System.Byte[]
60545800,1,0,System.Byte[],40,System.Byte[]
60555500,1,0,System.Byte[],40,System.Byte[]
60555600,1,0,System.Byte[],40,System.Byte[]
60555700,1,0,System.Byte[],40,System.Byte[]
