ID,SfxId,WindSfxId,GroundHitSfxId,SoundId,WetTime,GparamId,NextLotIngameSecondsMin,NextLotIngameSecondsMax,WetSpEffectId00,WetSpEffectId01,WetSpEffectId02,WetSpEffectId03,WetSpEffectId04,SfxIdInoor,SfxIdOutdoor,aiSightRate,DistViewWeatherGparamOverrideWeight
4252,806100,808006,1004010,806100,20,0,3600,7200,4650,4600,-1,-1,-1,-1,-1,0.8,0.3
4260,-1,808004,-1,-1,-1,0,2400,5200,-1,-1,-1,-1,-1,-1,-1,1,-1
100030,806130,808004,1004010,806130,20,0,2400,5200,4652,4602,-1,-1,-1,-1,806132,0.8,-1
100031,-1,808004,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
117111,-1,808006,-1,-1,-1,119,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
120311,-1,808006,-1,-1,-1,120,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
130001,-1,808006,-1,-1,-1,130,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
130010,-1,808006,-1,-1,-1,130,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
130011,-1,808006,-1,-1,-1,130,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
140020,806100,808006,1004010,806100,20,80,3600,7200,4650,4600,-1,-1,-1,-1,-1,1,-1
150040,806120,808006,-1,-1,20,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
341121,806100,808006,1004010,806100,20,148,2400,5200,4651,4601,-1,-1,-1,-1,-1,0.9,0.3
341151,-1,808006,-1,-1,-1,149,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3
341421,806100,808006,1004010,806100,20,116,2400,5200,4651,4601,-1,-1,-1,-1,-1,0.9,0.3
341450,-1,808006,-1,-1,-1,118,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3
341451,-1,808006,-1,-1,-1,117,2400,5200,-1,-1,-1,-1,-1,-1,-1,0.8,0.3
392010,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
392011,-1,808006,-1,-1,-1,0,3600,7200,-1,-1,-1,-1,-1,-1,-1,1,-1
392020,806100,808006,1004010,806100,20,0,3600,7200,4650,4600,-1,-1,-1,-1,-1,1,-1
392021,806100,808006,1004010,806100,20,0,2400,5200,4651,4601,-1,-1,-1,-1,-1,0.9,-1
392030,806130,808004,1004010,806130,20,0,2400,5200,4652,4602,-1,-1,-1,-1,806132,0.8,-1
