ID,mimicryEstablishment0,mimicryEstablishment1,mimicryEstablishment2,mimicryBeginSfxId0,mimicrySfxId0,mimicryEndSfxId0,mimicryBeginSfxId1,mimicrySfxId1,mimicryEndSfxId1,mimicryBeginSfxId2,mimicrySfxId2,mimicryEndSfxId2,pad1
30100800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30110800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30120800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30130800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30140800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30150800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30160800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30170800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30180800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30190800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
30200800,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
31000800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31010800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31020800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31030800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31040800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31050800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31060800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31070800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31090800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31100800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31110800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31120800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31150800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31170800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31180800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31190800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31200800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31210800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
31220800,333,333,333,-1,302655,302603,-1,302656,302603,-1,302657,302603,System.Byte[]
32000800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32010800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32020800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32040800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32050800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32070800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32080800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
32110800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
35000800,333,333,333,-1,302643,302603,-1,302661,302603,-1,302662,302603,System.Byte[]
35000850,333,333,333,-1,302640,302603,-1,302641,302603,-1,302642,302603,System.Byte[]
39200800,333,333,333,-1,302658,302603,-1,302659,302603,-1,302660,302603,System.Byte[]
