ID,lv01_BorderDist,lv01_PlayDist,lv12_BorderDist,lv12_PlayDist,lv23_BorderDist,lv23_PlayDist,lv34_BorderDist,lv34_PlayDist,lv45_BorderDist,lv45_PlayDist,tex_lv01_BorderDist,tex_lv01_PlayDist,enableCrossFade,drawDist,drawFadeRange,shadowDrawDist,shadowFadeRange,motionBlur_BorderDist,isPointLightShadowSrc,isDirLightShadowSrc,isShadowDst,isShadowOnly,drawByReflectCam,drawOnlyReflectCam,IncludeLodMapLv,isNoFarClipDraw,lodType,shadowDrawLodOffset,isTraceCameraXZ,isSkydomeDrawPhase,DistantViewModel_BorderDist,DistantViewModel_PlayDist,LimtedActivate_BorderDist_forGrid,LimtedActivate_PlayDist_forGrid,zSortOffsetForNoFarClipDraw,shadowDrawAlphaTestDist,fowardDrawEnvmapBlendType,LBDrawDistScaleParamID,resereve
62,0,0,0,0,9999,0,9999,0,9999,0,30,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
63,9998,10,9999,10,9999,0,9999,0,9999,0,0,1,0,9999,0,9999,0,20,0,1,1,0,0,0,-1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
64,20,4,80,2,9999,0,9999,0,9999,0,100,1,1,350,10,100,0,20,0,1,1,0,0,0,1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
65,40,3,60,10,80,3,512,3,768,3,2048,1,1,2048,20,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
66,5,1,20,2,9999,0,9999,0,9999,0,128,1,1,128,10,50,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
67,20,3,90,10,125,3,512,3,768,3,2048,1,1,2048,20,256,10,20,0,1,1,0,0,0,1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
68,5,1,20,2,9999,0,9999,0,9999,0,128,1,1,128,10,25,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
69,5,1,20,2,9999,0,9999,0,9999,0,256,1,1,256,10,50,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
70,5,1,20,2,9999,0,9999,0,9999,0,5,1,0,512,10,25,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
71,1,1,1,1,1,0,1,0,1,0,0,1,0,32,1,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,1,0,20,System.Byte[]
72,9998,10,9999,10,9999,0,9999,0,9999,0,9999,1,0,200,10,1,0,20,0,0,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
73,256,12,512,2,9999,0,9999,0,9999,0,9999,1,1,2048,20,512,0,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
74,512,12,1024,2,9999,0,9999,0,9999,0,9999,1,1,2048,20,512,0,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
75,32,1,64,2,9999,0,9999,0,9999,0,64,1,1,128,10,50,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
76,5,1,20,2,9999,0,9999,0,9999,0,5,1,0,32,10,25,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
77,48,12,64,12,9999,0,9999,0,9999,0,56,1,1,128,10,1,0,20,0,0,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,4,System.Byte[]
80,50,12,100,2,9999,0,9999,0,9999,0,512,1,1,700,20,512,0,20,0,1,1,0,0,0,2,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
81,10,1,40,2,9999,0,9999,0,9999,0,10,1,0,192,10,25,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
82,5,1,20,2,9999,0,9999,0,9999,0,5,1,0,128,10,25,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
83,20,4,80,2,9999,0,9999,0,9999,0,65,1,1,512,10,315,0,20,0,0,0,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
84,128,12,256,2,9999,0,9999,0,9999,0,1024,1,1,2048,20,512,10,20,0,1,1,0,0,0,2,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
85,100,2,180,2,9999,0,9999,0,9999,0,512,1,1,256,10,100,0,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
86,50,2,100,2,9999,0,9999,0,9999,0,256,1,1,256,10,100,0,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
87,10,1,25,2,9999,0,9999,0,9999,0,20,1,1,128,10,50,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,4,System.Byte[]
88,20,1,40,2,9999,0,9999,0,9999,0,20,1,1,64,10,20,0,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,4,System.Byte[]
89,10,2,40,2,9999,0,9999,0,9999,0,256,1,1,256,10,100,0,20,0,1,1,0,0,0,0,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
90,60,12,100,2,180,2,9999,0,9999,0,200,1,1,512,20,512,0,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
100,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,240,10,0,9999,0,20,System.Byte[]
101,60,12,100,2,9999,0,9999,0,9999,0,100,1,1,256,10,128,10,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
102,64,10,256,10,768,10,9999,0,9999,0,512,1,1,9999,10,512,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
103,32,10,128,10,512,10,9999,0,9999,0,512,1,1,9999,10,368,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
104,24,10,96,10,256,10,9999,0,9999,0,256,1,1,9999,10,256,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
105,9999,12,9999,2,9999,0,9999,0,9999,0,1024,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,412,10,0,9999,0,20,System.Byte[]
106,60,12,100,2,9999,0,9999,0,9999,0,256,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
107,9999,12,9999,2,9999,0,9999,0,9999,0,200,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
108,60,12,100,2,9999,0,9999,0,9999,0,100,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
109,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
110,96,12,256,2,9999,0,9999,0,9999,0,220,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
111,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,702,10,0,9999,0,20,System.Byte[]
112,9999,12,9999,2,9999,0,9999,0,9999,0,256,1,1,712,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
113,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
114,96,12,256,2,9999,0,9999,0,9999,0,256,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
115,9999,12,9999,2,9999,0,9999,0,9999,0,1024,10,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
116,9999,12,9999,2,9999,0,9999,0,9999,0,1024,10,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
117,9999,12,9999,2,9999,0,9999,0,9999,0,1024,10,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
118,96,12,256,2,9999,0,9999,0,9999,0,1024,10,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
119,64,1,100,2,9999,0,9999,0,9999,0,160,5,1,512,10,512,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
120,9999,12,9999,2,9999,0,9999,0,9999,0,2048,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
121,120,12,240,2,9999,0,9999,0,9999,0,512,1,1,512,20,512,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
122,9999,12,9999,2,9999,0,9999,0,9999,0,1024,10,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,412,20,0,9999,0,20,System.Byte[]
123,60,12,120,2,9999,0,9999,0,9999,0,256,1,1,512,10,256,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
124,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,206,10,0,9999,0,20,System.Byte[]
125,60,12,100,2,9999,0,9999,0,9999,0,100,1,1,256,10,128,10,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
126,9999,12,9999,2,9999,0,9999,0,9999,0,768,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,412,10,0,9999,0,20,System.Byte[]
127,96,12,256,2,9999,0,9999,0,9999,0,200,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
128,9999,12,9999,2,9999,0,9999,0,9999,0,768,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,412,10,0,9999,0,20,System.Byte[]
129,96,12,256,2,9999,0,9999,0,9999,0,256,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
130,9999,12,9999,2,9999,0,9999,0,9999,0,1024,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,502,10,0,9999,0,20,System.Byte[]
131,96,12,256,2,9999,0,9999,0,9999,0,256,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
132,9999,12,9999,2,9999,0,9999,0,9999,0,1280,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,668,10,0,9999,0,20,System.Byte[]
133,96,12,256,2,9999,0,9999,0,9999,0,256,1,1,768,10,128,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
134,9999,12,9999,2,9999,0,9999,0,9999,0,768,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,240,10,0,9999,0,20,System.Byte[]
135,60,12,100,2,9999,0,9999,0,9999,0,256,1,1,256,10,128,10,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
136,9999,12,9999,2,9999,0,9999,0,9999,0,2048,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,438,10,0,9999,0,20,System.Byte[]
137,96,12,256,2,9999,0,9999,0,9999,0,256,1,1,512,10,128,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
138,64,12,128,2,9999,0,9999,0,9999,0,256,1,1,9999,10,128,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
139,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,256,10,128,10,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
140,9999,12,9999,2,9999,0,9999,0,9999,0,2048,1,1,9999,20,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
141,9999,12,9999,2,9999,0,9999,0,9999,0,1024,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,460,10,0,9999,0,20,System.Byte[]
142,512,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,240,10,0,9999,0,20,System.Byte[]
143,60,12,120,2,9999,0,9999,0,9999,0,100,1,1,256,10,128,10,20,0,1,1,0,0,0,0,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
144,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,70,10,0,9999,0,20,System.Byte[]
145,9999,12,9999,2,9999,0,9999,0,9999,0,9999,1,1,9999,10,256,10,20,0,1,1,0,0,0,1,0,1,1,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
146,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,1024,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,300,10,0,9999,0,20,System.Byte[]
147,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,1024,10,256,10,20,0,1,1,0,0,0,2,0,1,1,0,0,30,5,380,10,0,9999,0,20,System.Byte[]
148,9999,12,9999,2,9999,0,9999,0,9999,0,512,1,1,9999,10,100,10,20,0,0,0,0,0,0,2,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
150,60,5,240,2,9999,0,9999,0,9999,0,256,1,1,9999,10,512,10,20,0,1,1,0,0,0,2,0,1,0,0,0,30,5,99999,10,0,9999,0,20,System.Byte[]
151,20,4,80,2,9999,0,9999,0,9999,0,100,1,1,9999,10,100,5,20,0,1,1,0,0,0,2,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
200,60,5,128,10,3500,0,9999,0,9999,0,1024,10,1,9999,10,9999,5,20,0,1,1,0,0,0,1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
201,128,5,256,10,3500,0,9999,0,9999,0,1024,10,1,9999,10,9999,5,20,0,1,1,0,0,0,1,0,1,0,0,0,30,5,-1,10,0,9999,0,20,System.Byte[]
