ID,regionType,category,padding1,dummyPoly1,dummyPoly2,radius,angle,depth,width,height,baseHeightOffset,angleCheckType,padding2,allowAngle,spotDummyPoly,textBoxType,padding3,padding5,isInvalidForRide,isGrayoutForRide,isInvalidForCrouching,isGrayoutForCrouching,padding4,textId,invalidFlag,grayoutFlag,overrideActionButtonIdForRide,execInvalidTime,padding6
6001,0,11,System.Byte[],-1,-1,1.2,180,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,0,0,0,0,7000,0,0,-1,0,System.Byte[]
6100,0,5,System.Byte[],-1,-1,1.5,180,0,0,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,1800,0,0,-1,3,System.Byte[]
6101,0,5,System.Byte[],-1,-1,1.5,180,0,0,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,1810,0,0,-1,3,System.Byte[]
6102,0,5,System.Byte[],-1,-1,5.25,180,0,0,0.6,0.05,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,1800,0,0,-1,3,System.Byte[]
6103,0,5,System.Byte[],-1,-1,5.25,180,0,0,0.6,0.05,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,1810,0,0,-1,3,System.Byte[]
6200,0,4,System.Byte[],-1,-1,4.5,180,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6210,0,4,System.Byte[],-1,-1,3.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6220,0,5,System.Byte[],-1,-1,6.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6221,0,4,System.Byte[],-1,-1,6.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7060,0,0,-1,3,System.Byte[]
6222,0,4,System.Byte[],-1,-1,7.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6230,0,2,System.Byte[],-1,-1,2.5,45,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7150,0,0,-1,3,System.Byte[]
6231,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,1000,0,0,-1,3,System.Byte[]
6240,0,4,System.Byte[],-1,-1,8.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6250,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,7030,0,0,-1,3,System.Byte[]
6260,0,4,System.Byte[],-1,-1,2.5,180,0,0,3.5,-2.5,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6270,0,4,System.Byte[],-1,-1,3.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6271,0,4,System.Byte[],-1,-1,15.5,180,0,0,5.5,-3.5,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6280,0,4,System.Byte[],-1,-1,2,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6290,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7090,0,0,-1,3,System.Byte[]
6291,0,4,System.Byte[],-1,-1,3.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6292,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7100,0,0,-1,3,System.Byte[]
6300,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6310,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7050,0,0,-1,3,System.Byte[]
6320,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7080,0,0,-1,3,System.Byte[]
6321,0,4,System.Byte[],-1,-1,3,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7120,0,0,-1,3,System.Byte[]
6330,0,4,System.Byte[],-1,-1,2.5,90,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7110,0,0,-1,3,System.Byte[]
6331,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7111,0,0,-1,3,System.Byte[]
6332,0,4,System.Byte[],-1,-1,2.5,90,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6340,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7130,0,0,-1,3,System.Byte[]
6350,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7140,0,0,-1,3,System.Byte[]
6360,0,4,System.Byte[],-1,-1,6,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6361,0,2,System.Byte[],-1,-1,3,180,0,0,2.5,-1.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,2000,0,0,-1,0,System.Byte[]
6370,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7170,0,0,-1,3,System.Byte[]
6380,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7190,0,0,-1,3,System.Byte[]
6390,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7200,0,0,-1,3,System.Byte[]
6400,0,4,System.Byte[],-1,-1,2.5,180,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6410,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7211,0,0,-1,3,System.Byte[]
6411,0,2,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7211,0,0,-1,3,System.Byte[]
6412,0,5,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7211,0,0,-1,3,System.Byte[]
6413,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7210,0,0,-1,3,System.Byte[]
6414,0,4,System.Byte[],-1,-1,2.5,180,0,0,3,-2,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6420,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7220,0,0,-1,3,System.Byte[]
6430,0,4,System.Byte[],270,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7230,0,0,-1,3,System.Byte[]
6440,0,2,System.Byte[],-1,-1,1.5,180,0,0,1,-0.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,7242,0,0,-1,0,System.Byte[]
6450,0,2,System.Byte[],-1,-1,1.5,180,0,0,1,-0.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,7240,0,0,-1,0,System.Byte[]
6460,0,2,System.Byte[],-1,-1,1.5,180,0,0,2,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,7241,0,0,-1,0,System.Byte[]
6470,0,4,System.Byte[],-1,-1,2.5,90,0,0,2,-1,0,System.Byte[],45,-1,0,System.Byte[],0,0,1,0,0,0,7160,0,0,-1,3,System.Byte[]
6471,0,2,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,7161,0,0,-1,0,System.Byte[]
6472,0,2,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,0,0,7162,0,0,-1,0,System.Byte[]
6480,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7180,0,0,-1,3,System.Byte[]
6490,0,4,System.Byte[],-1,-1,4,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6500,0,4,System.Byte[],-1,-1,3.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6510,0,2,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7260,0,0,-1,3,System.Byte[]
6519,0,4,System.Byte[],-1,-1,11,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7250,0,0,-1,3,System.Byte[]
6520,1,5,System.Byte[],-1,-1,0,180,2.2,0.5,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010530,0,0,-1,3,System.Byte[]
6521,1,5,System.Byte[],-1,-1,0,180,2.8,0.8,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010530,0,0,-1,3,System.Byte[]
6522,1,5,System.Byte[],-1,-1,0,180,3.5,1,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010530,0,0,-1,3,System.Byte[]
6523,1,5,System.Byte[],-1,-1,0,180,4.5,1.4,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010530,0,0,-1,3,System.Byte[]
6530,1,5,System.Byte[],-1,-1,0,180,4.5,1.4,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010550,0,0,-1,3,System.Byte[]
6531,1,5,System.Byte[],-1,-1,0,180,4.5,1.4,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010551,0,0,-1,3,System.Byte[]
6532,1,5,System.Byte[],-1,-1,0,180,4.5,1.4,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010552,0,0,-1,3,System.Byte[]
6533,1,5,System.Byte[],-1,-1,0,180,4.5,1.4,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010553,0,0,-1,3,System.Byte[]
6534,1,5,System.Byte[],-1,-1,0,180,4.5,1.4,3,-2.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,10010554,0,0,-1,3,System.Byte[]
6550,0,5,System.Byte[],-1,-1,2,180,0,0,2,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,99994005,0,0,-1,3,System.Byte[]
6560,0,5,System.Byte[],-1,-1,2,180,0,0,2,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,99992005,0,0,-1,3,System.Byte[]
6570,0,4,System.Byte[],-1,-1,10,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7000,0,0,-1,3,System.Byte[]
6580,0,4,System.Byte[],-1,-1,2.5,180,0,0,2,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,0,0,7040,0,0,-1,3,System.Byte[]
6600,0,4,System.Byte[],-1,-1,1.5,180,0,0,1.5,-0.55,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,7000,0,0,-1,3,System.Byte[]
6700,0,4,System.Byte[],-1,-1,2,180,0,0,1,-0.25,0,System.Byte[],180,-1,0,System.Byte[],0,0,1,0,1,0,1000,0,0,-1,3,System.Byte[]
7100,0,5,System.Byte[],100,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,0,0,-1,3,System.Byte[]
7101,0,5,System.Byte[],101,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,0,0,-1,3,System.Byte[]
7102,0,5,System.Byte[],100,-1,1.2,90,0,0,1.5,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,0,0,-1,3,System.Byte[]
7110,0,5,System.Byte[],100,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3101,0,0,-1,3,System.Byte[]
7200,0,5,System.Byte[],100,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,201,0,-1,3,System.Byte[]
7201,0,5,System.Byte[],101,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,201,0,-1,3,System.Byte[]
7202,0,5,System.Byte[],100,-1,1.2,90,0,0,1.5,-1,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,201,0,-1,3,System.Byte[]
7210,0,5,System.Byte[],100,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3101,201,0,-1,3,System.Byte[]
7220,0,5,System.Byte[],100,-1,1.2,90,0,0,1.25,-0.5,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,201,0,-1,3,System.Byte[]
7300,0,5,System.Byte[],100,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,202,0,-1,3,System.Byte[]
7301,0,5,System.Byte[],101,-1,1.2,90,0,0,1,-0.25,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,202,0,-1,3,System.Byte[]
7320,0,5,System.Byte[],100,-1,1.2,90,0,0,1.25,-0.5,0,System.Byte[],90,-1,0,System.Byte[],0,0,1,0,1,0,3100,202,0,-1,3,System.Byte[]
7800,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2800,0,0,-1,0,System.Byte[]
7810,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2810,0,0,7860,0,System.Byte[]
7811,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2811,0,0,7861,0,System.Byte[]
7812,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2812,0,0,7862,0,System.Byte[]
7813,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2813,0,0,7863,0,System.Byte[]
7814,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2814,0,0,7864,0,System.Byte[]
7815,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2815,0,0,7865,0,System.Byte[]
7816,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2816,0,0,7866,0,System.Byte[]
7817,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2817,0,0,7867,0,System.Byte[]
7818,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2818,0,0,7868,0,System.Byte[]
7819,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2819,0,0,7869,0,System.Byte[]
7820,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2820,0,0,7870,0,System.Byte[]
7821,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2821,0,0,7871,0,System.Byte[]
7822,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2822,0,0,7872,0,System.Byte[]
7823,0,2,System.Byte[],-1,-1,2.5,180,0,0,2.75,-2,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2823,0,0,7873,0,System.Byte[]
7824,0,2,System.Byte[],-1,-1,2.5,180,0,0,2.75,-2,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2824,0,0,7874,0,System.Byte[]
7825,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2825,0,0,7875,0,System.Byte[]
7826,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2826,0,0,7876,0,System.Byte[]
7827,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2827,0,0,7877,0,System.Byte[]
7828,0,2,System.Byte[],-1,-1,2.5,180,0,0,1.5,-0.75,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2828,0,0,7878,0,System.Byte[]
7850,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2810,0,0,-1,0,System.Byte[]
7860,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2810,0,0,-1,0,System.Byte[]
7861,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2811,0,0,-1,0,System.Byte[]
7862,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2812,0,0,-1,0,System.Byte[]
7863,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2813,0,0,-1,0,System.Byte[]
7864,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2814,0,0,-1,0,System.Byte[]
7865,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2815,0,0,-1,0,System.Byte[]
7866,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2816,0,0,-1,0,System.Byte[]
7867,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2817,0,0,-1,0,System.Byte[]
7868,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2818,0,0,-1,0,System.Byte[]
7869,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2819,0,0,-1,0,System.Byte[]
7870,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2820,0,0,-1,0,System.Byte[]
7871,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2821,0,0,-1,0,System.Byte[]
7872,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2822,0,0,-1,0,System.Byte[]
7873,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.75,-2,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2823,0,0,-1,0,System.Byte[]
7874,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.75,-2,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2824,0,0,-1,0,System.Byte[]
7875,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2825,0,0,-1,0,System.Byte[]
7876,0,2,System.Byte[],-1,-1,3.8,180,0,0,2.5,-1,0,System.Byte[],180,-1,0,System.Byte[],0,0,0,0,0,0,2826,0,0,-1,0,System.Byte[]
