ID,textureId,dmypolyId,pitchAngle,yawAngle,nearDistance,farDistance,nearSize,farSize,maskSpeffectId,pad_10,replaceTextureId_byMaterial,dmypolyCategory,pad_05,useDeferredDecal,usePaintDecal,bloodTypeEnable,bUseNormal,pad_08,pad_09,usePom,useEmissive,putVertical,randomSizeMin,randomSizeMax,randomRollMin,randomRollMax,randomPitchMin,randomPitchMax,randomYawMin,randomYawMax,pomHightScale,pomSampleMin,pomSampleMax,blendMode,appearDirType,emissiveValueBegin,emissiveValueEnd,emissiveTime,bIntpEnable,pad_01,intpIntervalDist,beginIntpTextureId,endIntpTextureId,appearSfxId,appearSfxOffsetPos,maskTextureId,diffuseTextureId,reflecTextureId,maskScale,normalTextureId,heightTextureId,emissiveTextureId,diffuseColorR,diffuseColorG,diffuseColorB,pad_03,reflecColorR,reflecColorG,reflecColorB,bLifeEnable,siniScale,lifeTimeSec,fadeOutTimeSec,priority,bDistThinOutEnable,bAlignedTexRandomVariationEnable,distThinOutCheckDist,distThinOutCheckAngleDeg,distThinOutMaxNum,distThinOutCheckNum,delayAppearFrame,randVaria_Diffuse,randVaria_Mask,randVaria_Reflec,pad_12,randVaria_Normal,randVaria_Height,randVaria_Emissive,pad_11,fadeInTimeSec,thinOutOverlapMultiRadius,thinOutNeighborAddRadius,thinOutOverlapLimitNum,thinOutNeighborLimitNum,thinOutMode,emissiveColorR,emissiveColorG,emissiveColorB,maxDecalSfxCreatableSlopeAngleDeg,pad_02
421501,5421530,-1,-90,0,-0.5,0.5,1,1,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,140,145,15,15,0,0,0,0,1,8,64,1,0,12,1.5,10,0,System.Byte[],0.05,-1,-1,621500,0,-1,5421530,100000,1,5421530,-1,5421532,60,66,44,System.Byte[],255,255,255,1,1,30,20,0,1,0,1,10,2,5,0,0,0,0,0,0,0,2,0,0.5,2,5,1,3,1,255,255,255,-1,System.Byte[]
421502,100010,-1,-90,0,-0.25,0.25,1.5,0.5,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,20,100,-180,180,0,0,0,0,1,8,64,1,0,20,5,60,1,System.Byte[],0.25,-1,-1,621500,0,101000,210000,100000,1,-1,-1,5421500,107,140,168,System.Byte[],25,25,25,1,1,1,1,0,1,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.125,0.5,1.5,5,5,1,255,255,255,-1,System.Byte[]
430700,100010,-1,0,0,-1,3,1,3,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,130,160,-20,40,-10,10,-10,10,1,8,64,1,1,0.02,0,2,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,5600000,26,7,1,System.Byte[],26,7,1,1,1,30,10,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
431800,30000,-1,0,0,-2,1,1.5,4,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,180,-180,180,-20,20,-20,20,1,8,64,1,1,20,0,4,0,System.Byte[],0.01,-1,-1,-1,0,100010,210000,100000,1,100000,-1,5421510,78,100,118,System.Byte[],78,100,118,1,0.2,2,2,0,1,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.5,0.25,1,10,50,1,255,255,255,-1,System.Byte[]
433000,100010,-1,-30,180,-0.5,0.5,0.3,1,-1,0,0,0,0,1,0,0,0,0,0,0,1,0,80,160,0,0,0,0,0,0,1,8,64,1,0,100,0,15,1,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,5421510,75,75,75,System.Byte[],255,255,255,1,1,30,10,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
435500,-1,-1,180,0,-0.75,1.5,5,15,-1,0,0,0,0,1,0,0,1,0,0,0,1,0,100,100,-180,180,-5,5,-5,5,1,8,64,1,0,1.5,0,15,1,System.Byte[],0.05,-1,-1,-1,0,100010,210000,10,1,5421500,-1,-1,255,15,15,System.Byte[],255,200,200,1,1,30,2,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.25,1,10,5,50,0,255,255,255,-1,System.Byte[]
435505,100000,-1,-90,-90,-3,1,4,4,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,100,100,0,180,-20,20,-20,20,1,8,64,1,1,1.5,0,15,0,System.Byte[],0.05,-1,-1,-1,0,5500500,210000,10,0.5,5421500,-1,-1,255,15,15,System.Byte[],255,200,200,1,1,6,2,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,2,0.5,3,25,50,1,255,255,255,-1,System.Byte[]
436610,100010,-1,0,0,-2,3,5.5,5.5,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,128,106,64,System.Byte[],255,213,128,1,1,6,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.1,1,10,5,50,0,255,255,255,-1,System.Byte[]
436611,100010,-1,0,0,-2,3,5.5,5.5,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,2,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,191,159,96,System.Byte[],255,213,128,1,1,6,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.1,1,10,5,50,0,255,255,255,-1,System.Byte[]
436612,100010,-1,0,0,-2,3,6,6,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,128,106,64,System.Byte[],255,213,128,1,1,6,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.1,1,10,5,50,0,255,255,255,-1,System.Byte[]
436613,100010,-1,0,0,-2,3,6,6,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,2,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,191,159,96,System.Byte[],255,213,128,1,1,6,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.1,1,10,5,50,0,255,255,255,-1,System.Byte[]
438000,100010,-1,0,0,-1,5,2,8,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,130,160,-20,40,-10,10,-10,10,1,8,64,2,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,135,75,31,System.Byte[],135,75,31,1,1,60,10,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
439500,100010,-1,0,0,-1,3,1,4,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,130,160,-20,40,-10,10,-10,10,1,8,64,2,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,102,135,31,System.Byte[],102,135,31,1,1,30,30,0,1,0,1,10,2,5,0,0,4,0,0,0,0,0,0,0.2,1,10,5,50,0,255,255,255,-1,System.Byte[]
440200,100010,-1,0,0,-1,2,1.5,8,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,24,33,8,System.Byte[],24,33,8,1,1,8,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.1,1,10,5,50,0,255,255,255,-1,System.Byte[]
440400,-1,-1,0,0,-0.5,0.5,2,2,-1,0,0,0,0,1,0,0,0,0,0,0,1,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,10,0,4,0,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,1,5500500,-1,5200530,0,0,0,System.Byte[],0,0,0,1,0,60,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
440401,100010,-1,0,0,-0.5,0.5,2,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,1,100000,-1,-1,5,1,1,System.Byte[],64,48,48,1,1,60,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
440402,100010,-1,0,0,-0.5,0.5,2,2,-1,0,0,0,0,1,0,0,0,0,0,0,0,1,100,100,-180,180,0,0,0,0,1,8,64,1,1,0,0,0,0,System.Byte[],0.05,-1,-1,-1,0,100010,210000,100000,0.5,100000,-1,-1,128,106,64,System.Byte[],255,213,128,1,1,60,3,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
441300,100000,-1,40,0,-0.4,5,0.2,2.5,-1,0,0,0,0,0,1,1,0,0,0,0,1,0,130,160,-20,40,-80,10,-60,60,1,8,64,1,2,40,0,15,1,System.Byte[],0.05,-1,-1,-1,0,-1,-1,-1,1,-1,-1,-1,200,20,20,System.Byte[],255,200,200,0,1,60,10,0,1,0,1,10,2,5,3,0,4,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
441301,100010,-1,40,0,-1,6,0.2,2.5,-1,0,0,0,0,1,0,1,0,0,0,0,1,0,130,160,-20,40,-80,10,-60,60,1,8,64,1,2,40,0,15,1,System.Byte[],0.05,-1,-1,-1,0,100010,100000,100000,1,100000,-1,-1,200,20,20,System.Byte[],255,200,200,0,1,60,10,0,1,0,1,10,2,5,3,0,4,0,0,0,0,0,0,0,1,10,5,50,0,255,255,255,-1,System.Byte[]
441908,-1,-1,-90,0,-0.25,0.25,2.5,1.3,12642,0,0,0,0,1,0,0,1,0,0,0,1,0,60,100,-180,180,0,0,0,0,1,8,64,1,0,7,2.5,2,1,System.Byte[],0.25,-1,-1,641922,0,101000,210000,100000,1,-1,-1,5421510,211,217,224,System.Byte[],240,240,240,1,1,2.5,0.5,0,0,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.125,0.5,1.5,5,5,1,255,255,255,-1,System.Byte[]
441909,-1,-1,-90,0,-0.25,0.25,2.5,1.3,12645,0,0,0,0,1,0,0,1,0,0,0,1,0,60,100,-180,180,0,0,0,0,1,8,64,1,0,3.5,1.25,2,1,System.Byte[],0.25,-1,-1,641923,0,101000,210000,100000,1,-1,-1,5421520,103,201,182,System.Byte[],50,50,50,1,0.7,2.5,0.5,0,0,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.125,0.5,1.5,5,5,1,255,255,255,-1,System.Byte[]
441910,-1,-1,-90,0,-0.25,0.25,2.5,1.3,12646,0,0,0,0,1,0,0,1,0,0,0,1,0,60,100,-180,180,0,0,0,0,1,8,64,1,0,7,2.5,2,1,System.Byte[],0.25,-1,-1,641924,0,101000,210000,100000,1,-1,-1,5421530,231,240,120,System.Byte[],50,50,50,1,0.7,2.5,0.5,0,0,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.125,0.5,1.5,5,5,1,255,255,255,-1,System.Byte[]
442200,100000,-1,-90,-90,-3,2.5,12,12,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,100,100,0,180,0,0,0,0,1,8,64,1,1,1.5,0,15,1,System.Byte[],0.05,-1,-1,-1,0,30101,100000,100000,1,5421500,-1,-1,220,202,190,System.Byte[],220,202,100,1,0.9,30,0.5,0,0,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,255,255,255,-1,System.Byte[]
442201,100000,-1,-90,-90,-2.5,3,10,10,-1,0,0,0,0,1,0,1,1,0,0,0,1,0,100,100,0,180,0,0,0,0,1,8,64,1,1,1.5,0,15,1,System.Byte[],0.05,-1,-1,-1,0,30101,100000,100000,0.5,5421500,-1,-1,220,202,190,System.Byte[],220,202,190,1,0.9,90,0.5,0,1,0,1,10,2,5,0,0,0,0,0,0,0,0,0,0.25,1,5,0,0,0,255,255,255,-1,System.Byte[]
442202,100000,-1,-90,0,-5,10,6,6,-1,0,0,0,0,1,0,0,1,0,0,0,0,0,100,120,0,0,0,0,0,0,1,8,64,1,0,1.5,0,15,0,System.Byte[],0.05,-1,-1,-1,0,121000,100000,100000,1,5421500,-1,-1,220,202,190,System.Byte[],220,202,190,1,1,5,2,0,1,0,1,10,2,5,0,0,3,0,0,0,0,0,0,0.125,0.5,6.5,8,8,1,255,255,255,-1,System.Byte[]
