ID,physicsAtkRate,magicAtkRate,fireAtkRate,thunderAtkRate,staminaAtkRate,saWeaponAtkRate,saDurabilityRate,correctStrengthRate,correctAgilityRate,correctMagicRate,correctFaithRate,physicsGuardCutRate,magicGuardCutRate,fireGuardCutRate,thunderGuardCutRate,poisonGuardResistRate,diseaseGuardResistRate,bloodGuardResistRate,curseGuardResistRate,staminaGuardDefRate,spEffectId1,spEffectId2,spEffectId3,residentSpEffectId1,residentSpEffectId2,residentSpEffectId3,materialSetId,maxReinforceLevel,darkAtkRate,darkGuardCutRate,correctLuckRate,freezeGuardDefRate,reinforcePriceRate,baseChangePriceRate,enableGemRank,pad2,sleepGuardDefRate,madnessGuardDefRate,baseAtkRate
11,1.88,1.88,1.88,1.88,1.88,1,1,1.352,1.352,1.352,1.352,1,1,1,1,1,1,1,1,1.088,0,0,0,0,0,0,11,11,1.88,1,1.352,1,3,1,0,System.Byte[],1,1,1.88
12,1.96,1.96,1.96,1.96,1.96,1,1,1.384,1.384,1.384,1.384,1,1,1,1,1,1,1,1,1.096,0,0,0,0,0,0,12,12,1.96,1,1.384,1,3.2,1,0,System.Byte[],1,1,1.96
13,2.04,2.04,2.04,2.04,2.04,1,1,1.416,1.416,1.416,1.416,1,1,1,1,1,1,1,1,1.104,0,0,0,0,0,0,13,13,2.04,1,1.416,1,3.4,1,0,System.Byte[],1,1,2.04
14,2.12,2.12,2.12,2.12,2.12,1,1,1.448,1.448,1.448,1.448,1,1,1,1,1,1,1,1,1.112,0,0,0,0,0,0,14,14,2.12,1,1.448,1,3.6,1,0,System.Byte[],1,1,2.12
15,2.2,2.2,2.2,2.2,2.2,1,1,1.48,1.48,1.48,1.48,1,1,1,1,1,1,1,1,1.12,0,0,0,0,0,0,15,15,2.2,1,1.48,1,3.8,1,0,System.Byte[],1,1,2.2
16,2.28,2.28,2.28,2.28,2.28,1,1,1.512,1.512,1.512,1.512,1,1,1,1,1,1,1,1,1.128,0,0,0,0,0,0,16,16,2.28,1,1.512,1,4,1,0,System.Byte[],1,1,2.28
17,2.36,2.36,2.36,2.36,2.36,1,1,1.544,1.544,1.544,1.544,1,1,1,1,1,1,1,1,1.136,0,0,0,0,0,0,17,17,2.36,1,1.544,1,4.2,1,0,System.Byte[],1,1,2.36
18,2.44,2.44,2.44,2.44,2.44,1,1,1.576,1.576,1.576,1.576,1,1,1,1,1,1,1,1,1.144,0,0,0,0,0,0,18,18,2.44,1,1.576,1,4.4,1,0,System.Byte[],1,1,2.44
19,2.52,2.52,2.52,2.52,2.52,1,1,1.608,1.608,1.608,1.608,1,1,1,1,1,1,1,1,1.152,0,0,0,0,0,0,19,19,2.52,1,1.608,1,4.6,1,0,System.Byte[],1,1,2.52
20,2.6,2.6,2.6,2.6,2.6,1,1,1.64,1.64,1.64,1.64,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,20,20,2.6,1,1.64,1,4.8,1,0,System.Byte[],1,1,2.6
21,2.68,2.68,2.68,2.68,2.68,1,1,1.672,1.672,1.672,1.672,1,1,1,1,1,1,1,1,1.168,0,0,0,0,0,0,21,21,2.68,1,1.672,1,5,1,0,System.Byte[],1,1,2.68
22,2.76,2.76,2.76,2.76,2.76,1,1,1.704,1.704,1.704,1.704,1,1,1,1,1,1,1,1,1.176,0,0,0,0,0,0,22,22,2.76,1,1.704,1,5.2,1,0,System.Byte[],1,1,2.76
23,2.84,2.84,2.84,2.84,2.84,1,1,1.736,1.736,1.736,1.736,1,1,1,1,1,1,1,1,1.184,0,0,0,0,0,0,23,23,2.84,1,1.736,1,5.4,1,0,System.Byte[],1,1,2.84
24,2.92,2.92,2.92,2.92,2.92,1,1,1.768,1.768,1.768,1.768,1,1,1,1,1,1,1,1,1.192,0,0,0,0,0,0,24,24,2.92,1,1.768,1,5.6,1,0,System.Byte[],1,1,2.92
25,3,3,3,3,3,1,1,1.8,1.8,1.8,1.8,1,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,25,25,3,1,1.8,1,5.8,1,0,System.Byte[],1,1,3
100,0.98,1,1,1,1,1,1,1.6,0.5,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,System.Byte[],1,1,1
101,1.05,1.08,1.08,1.08,1.08,1,1,1.68,0.542,1.032,1.032,1,1,1,1,1,1,1,1,1.008,0,0,0,0,0,0,1,1,1.08,1,1.032,1,1,1,0,System.Byte[],1,1,1.08
102,1.13,1.16,1.16,1.16,1.16,1,1,1.76,0.584,1.064,1.064,1,1,1,1,1,1,1,1,1.016,0,0,0,0,0,0,2,2,1.16,1,1.064,1,1.2,1,0,System.Byte[],1,1,1.16
103,1.21,1.24,1.24,1.24,1.24,1,1,1.84,0.626,1.096,1.096,1,1,1,1,1,1,1,1,1.024,0,0,0,0,0,0,3,3,1.24,1,1.096,1,1.4,1,0,System.Byte[],1,1,1.24
104,1.29,1.32,1.32,1.32,1.32,1,1,1.92,0.668,1.128,1.128,1,1,1,1,1,1,1,1,1.032,0,0,0,0,0,0,4,4,1.32,1,1.128,1,1.6,1,0,System.Byte[],1,1,1.32
105,1.37,1.4,1.4,1.4,1.4,1,1,2,0.71,1.16,1.16,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,5,5,1.4,1,1.16,1,1.8,1,0,System.Byte[],1,1,1.4
106,1.45,1.48,1.48,1.48,1.48,1,1,2.08,0.752,1.192,1.192,1,1,1,1,1,1,1,1,1.048,0,0,0,0,0,0,6,6,1.48,1,1.192,1,2,1,0,System.Byte[],1,1,1.48
107,1.52,1.56,1.56,1.56,1.56,1,1,2.16,0.794,1.224,1.224,1,1,1,1,1,1,1,1,1.056,0,0,0,0,0,0,7,7,1.56,1,1.224,1,2.2,1,0,System.Byte[],1,1,1.56
108,1.6,1.64,1.64,1.64,1.64,1,1,2.24,0.836,1.256,1.256,1,1,1,1,1,1,1,1,1.064,0,0,0,0,0,0,8,8,1.64,1,1.256,1,2.4,1,0,System.Byte[],1,1,1.64
109,1.68,1.72,1.72,1.72,1.72,1,1,2.32,0.878,1.288,1.288,1,1,1,1,1,1,1,1,1.072,0,0,0,0,0,0,9,9,1.72,1,1.288,1,2.6,1,0,System.Byte[],1,1,1.72
110,1.76,1.8,1.8,1.8,1.8,1,1,2.4,0.92,1.32,1.32,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,10,10,1.8,1,1.32,1,2.8,1,0,System.Byte[],1,1,1.8
111,1.84,1.88,1.88,1.88,1.88,1,1,2.48,0.962,1.352,1.352,1,1,1,1,1,1,1,1,1.088,0,0,0,0,0,0,11,11,1.88,1,1.352,1,3,1,0,System.Byte[],1,1,1.88
112,1.92,1.96,1.96,1.96,1.96,1,1,2.56,1.004,1.384,1.384,1,1,1,1,1,1,1,1,1.096,0,0,0,0,0,0,12,12,1.96,1,1.384,1,3.2,1,0,System.Byte[],1,1,1.96
113,1.99,2.04,2.04,2.04,2.04,1,1,2.64,1.046,1.416,1.416,1,1,1,1,1,1,1,1,1.104,0,0,0,0,0,0,13,13,2.04,1,1.416,1,3.4,1,0,System.Byte[],1,1,2.04
114,2.07,2.12,2.12,2.12,2.12,1,1,2.72,1.088,1.448,1.448,1,1,1,1,1,1,1,1,1.112,0,0,0,0,0,0,14,14,2.12,1,1.448,1,3.6,1,0,System.Byte[],1,1,2.12
115,2.15,2.2,2.2,2.2,2.2,1,1,2.8,1.13,1.48,1.48,1,1,1,1,1,1,1,1,1.12,0,0,0,0,0,0,15,15,2.2,1,1.48,1,3.8,1,0,System.Byte[],1,1,2.2
116,2.23,2.28,2.28,2.28,2.28,1,1,2.88,1.172,1.512,1.512,1,1,1,1,1,1,1,1,1.128,0,0,0,0,0,0,16,16,2.28,1,1.512,1,4,1,0,System.Byte[],1,1,2.28
117,2.31,2.36,2.36,2.36,2.36,1,1,2.96,1.214,1.544,1.544,1,1,1,1,1,1,1,1,1.136,0,0,0,0,0,0,17,17,2.36,1,1.544,1,4.2,1,0,System.Byte[],1,1,2.36
118,2.39,2.44,2.44,2.44,2.44,1,1,3.04,1.256,1.576,1.576,1,1,1,1,1,1,1,1,1.144,0,0,0,0,0,0,18,18,2.44,1,1.576,1,4.4,1,0,System.Byte[],1,1,2.44
119,2.46,2.52,2.52,2.52,2.52,1,1,3.12,1.298,1.608,1.608,1,1,1,1,1,1,1,1,1.152,0,0,0,0,0,0,19,19,2.52,1,1.608,1,4.6,1,0,System.Byte[],1,1,2.52
120,2.54,2.6,2.6,2.6,2.6,1,1,3.2,1.34,1.64,1.64,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,20,20,2.6,1,1.64,1,4.8,1,0,System.Byte[],1,1,2.6
121,2.62,2.68,2.68,2.68,2.68,1,1,3.28,1.382,1.672,1.672,1,1,1,1,1,1,1,1,1.168,0,0,0,0,0,0,21,21,2.68,1,1.672,1,5,1,0,System.Byte[],1,1,2.68
122,2.7,2.76,2.76,2.76,2.76,1,1,3.36,1.424,1.704,1.704,1,1,1,1,1,1,1,1,1.176,0,0,0,0,0,0,22,22,2.76,1,1.704,1,5.2,1,0,System.Byte[],1,1,2.76
123,2.78,2.84,2.84,2.84,2.84,1,1,3.44,1.466,1.736,1.736,1,1,1,1,1,1,1,1,1.184,0,0,0,0,0,0,23,23,2.84,1,1.736,1,5.4,1,0,System.Byte[],1,1,2.84
124,2.86,2.92,2.92,2.92,2.92,1,1,3.52,1.508,1.768,1.768,1,1,1,1,1,1,1,1,1.192,0,0,0,0,0,0,24,24,2.92,1,1.768,1,5.6,1,0,System.Byte[],1,1,2.92
125,2.94,3,3,3,3,1,1,3.6,1.55,1.8,1.8,1,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,25,25,3,1,1.8,1,5.8,1,0,System.Byte[],1,1,3
200,0.95,1,1,1,1,1,1,0.95,1.6,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,System.Byte[],1,1,1
201,1.026,1.08,1.08,1.08,1.08,1,1,0.962,1.7,1.032,1.032,1,1,1,1,1,1,1,1,1.008,0,0,0,0,0,0,1,1,1.08,1,1.032,1,1,1,0,System.Byte[],1,1,1.08
202,1.102,1.16,1.16,1.16,1.16,1,1,0.974,1.8,1.064,1.064,1,1,1,1,1,1,1,1,1.016,0,0,0,0,0,0,2,2,1.16,1,1.064,1,1.2,1,0,System.Byte[],1,1,1.16
203,1.178,1.24,1.24,1.24,1.24,1,1,0.986,1.9,1.096,1.096,1,1,1,1,1,1,1,1,1.024,0,0,0,0,0,0,3,3,1.24,1,1.096,1,1.4,1,0,System.Byte[],1,1,1.24
204,1.254,1.32,1.32,1.32,1.32,1,1,0.998,2,1.128,1.128,1,1,1,1,1,1,1,1,1.032,0,0,0,0,0,0,4,4,1.32,1,1.128,1,1.6,1,0,System.Byte[],1,1,1.32
205,1.33,1.4,1.4,1.4,1.4,1,1,1.01,2.1,1.16,1.16,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,5,5,1.4,1,1.16,1,1.8,1,0,System.Byte[],1,1,1.4
206,1.406,1.48,1.48,1.48,1.48,1,1,1.022,2.2,1.192,1.192,1,1,1,1,1,1,1,1,1.048,0,0,0,0,0,0,6,6,1.48,1,1.192,1,2,1,0,System.Byte[],1,1,1.48
207,1.482,1.56,1.56,1.56,1.56,1,1,1.034,2.3,1.224,1.224,1,1,1,1,1,1,1,1,1.056,0,0,0,0,0,0,7,7,1.56,1,1.224,1,2.2,1,0,System.Byte[],1,1,1.56
208,1.558,1.64,1.64,1.64,1.64,1,1,1.046,2.4,1.256,1.256,1,1,1,1,1,1,1,1,1.064,0,0,0,0,0,0,8,8,1.64,1,1.256,1,2.4,1,0,System.Byte[],1,1,1.64
209,1.634,1.72,1.72,1.72,1.72,1,1,1.058,2.5,1.288,1.288,1,1,1,1,1,1,1,1,1.072,0,0,0,0,0,0,9,9,1.72,1,1.288,1,2.6,1,0,System.Byte[],1,1,1.72
210,1.71,1.8,1.8,1.8,1.8,1,1,1.07,2.6,1.32,1.32,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,10,10,1.8,1,1.32,1,2.8,1,0,System.Byte[],1,1,1.8
211,1.786,1.88,1.88,1.88,1.88,1,1,1.082,2.7,1.352,1.352,1,1,1,1,1,1,1,1,1.088,0,0,0,0,0,0,1,11,1.88,1,1.352,1,3,1,0,System.Byte[],1,1,1.88
212,1.862,1.96,1.96,1.96,1.96,1,1,1.094,2.8,1.384,1.384,1,1,1,1,1,1,1,1,1.096,0,0,0,0,0,0,2,12,1.96,1,1.384,1,3.2,1,0,System.Byte[],1,1,1.96
213,1.938,2.04,2.04,2.04,2.04,1,1,1.106,2.9,1.416,1.416,1,1,1,1,1,1,1,1,1.104,0,0,0,0,0,0,3,13,2.04,1,1.416,1,3.4,1,0,System.Byte[],1,1,2.04
214,2.014,2.12,2.12,2.12,2.12,1,1,1.118,3,1.448,1.448,1,1,1,1,1,1,1,1,1.112,0,0,0,0,0,0,4,14,2.12,1,1.448,1,3.6,1,0,System.Byte[],1,1,2.12
215,2.09,2.2,2.2,2.2,2.2,1,1,1.13,3.1,1.48,1.48,1,1,1,1,1,1,1,1,1.12,0,0,0,0,0,0,5,15,2.2,1,1.48,1,3.8,1,0,System.Byte[],1,1,2.2
216,2.166,2.28,2.28,2.28,2.28,1,1,1.142,3.2,1.512,1.512,1,1,1,1,1,1,1,1,1.128,0,0,0,0,0,0,6,16,2.28,1,1.512,1,4,1,0,System.Byte[],1,1,2.28
217,2.242,2.36,2.36,2.36,2.36,1,1,1.154,3.3,1.544,1.544,1,1,1,1,1,1,1,1,1.136,0,0,0,0,0,0,7,17,2.36,1,1.544,1,4.2,1,0,System.Byte[],1,1,2.36
218,2.318,2.44,2.44,2.44,2.44,1,1,1.166,3.4,1.576,1.576,1,1,1,1,1,1,1,1,1.144,0,0,0,0,0,0,8,18,2.44,1,1.576,1,4.4,1,0,System.Byte[],1,1,2.44
219,2.394,2.52,2.52,2.52,2.52,1,1,1.178,3.5,1.608,1.608,1,1,1,1,1,1,1,1,1.152,0,0,0,0,0,0,9,19,2.52,1,1.608,1,4.6,1,0,System.Byte[],1,1,2.52
220,2.47,2.6,2.6,2.6,2.6,1,1,1.19,3.6,1.64,1.64,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,10,20,2.6,1,1.64,1,4.8,1,0,System.Byte[],1,1,2.6
221,2.546,2.68,2.68,2.68,2.68,1,1,1.202,3.7,1.672,1.672,1,1,1,1,1,1,1,1,1.168,0,0,0,0,0,0,1,21,2.68,1,1.672,1,5,1,0,System.Byte[],1,1,2.68
222,2.622,2.76,2.76,2.76,2.76,1,1,1.214,3.8,1.704,1.704,1,1,1,1,1,1,1,1,1.176,0,0,0,0,0,0,2,22,2.76,1,1.704,1,5.2,1,0,System.Byte[],1,1,2.76
223,2.698,2.84,2.84,2.84,2.84,1,1,1.226,3.9,1.736,1.736,1,1,1,1,1,1,1,1,1.184,0,0,0,0,0,0,3,23,2.84,1,1.736,1,5.4,1,0,System.Byte[],1,1,2.84
224,2.774,2.92,2.92,2.92,2.92,1,1,1.238,4,1.768,1.768,1,1,1,1,1,1,1,1,1.192,0,0,0,0,0,0,4,24,2.92,1,1.768,1,5.6,1,0,System.Byte[],1,1,2.92
225,2.85,3,3,3,3,1,1,1.25,4.1,1.8,1.8,1,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,5,25,3,1,1.8,1,5.8,1,0,System.Byte[],1,1,3
300,0.9,1,1,1,1,1,1,1.25,1.25,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,System.Byte[],1,1,1
301,0.972,1.08,1.08,1.08,1.08,1,1,1.298,1.298,1.032,1.032,1,1,1,1,1,1,1,1,1.008,0,0,0,0,0,0,1,1,1.08,1,1.032,1,1,1,0,System.Byte[],1,1,1.08
302,1.044,1.16,1.16,1.16,1.16,1,1,1.346,1.346,1.064,1.064,1,1,1,1,1,1,1,1,1.016,0,0,0,0,0,0,2,2,1.16,1,1.064,1,1.2,1,0,System.Byte[],1,1,1.16
303,1.116,1.24,1.24,1.24,1.24,1,1,1.394,1.394,1.096,1.096,1,1,1,1,1,1,1,1,1.024,0,0,0,0,0,0,3,3,1.24,1,1.096,1,1.4,1,0,System.Byte[],1,1,1.24
304,1.188,1.32,1.32,1.32,1.32,1,1,1.442,1.442,1.128,1.128,1,1,1,1,1,1,1,1,1.032,0,0,0,0,0,0,4,4,1.32,1,1.128,1,1.6,1,0,System.Byte[],1,1,1.32
305,1.26,1.4,1.4,1.4,1.4,1,1,1.49,1.49,1.16,1.16,1,1,1,1,1,1,1,1,1.04,0,0,0,0,0,0,5,5,1.4,1,1.16,1,1.8,1,0,System.Byte[],1,1,1.4
306,1.332,1.48,1.48,1.48,1.48,1,1,1.538,1.538,1.192,1.192,1,1,1,1,1,1,1,1,1.048,0,0,0,0,0,0,6,6,1.48,1,1.192,1,2,1,0,System.Byte[],1,1,1.48
307,1.404,1.56,1.56,1.56,1.56,1,1,1.586,1.586,1.224,1.224,1,1,1,1,1,1,1,1,1.056,0,0,0,0,0,0,7,7,1.56,1,1.224,1,2.2,1,0,System.Byte[],1,1,1.56
308,1.476,1.64,1.64,1.64,1.64,1,1,1.634,1.634,1.256,1.256,1,1,1,1,1,1,1,1,1.064,0,0,0,0,0,0,8,8,1.64,1,1.256,1,2.4,1,0,System.Byte[],1,1,1.64
309,1.548,1.72,1.72,1.72,1.72,1,1,1.682,1.682,1.288,1.288,1,1,1,1,1,1,1,1,1.072,0,0,0,0,0,0,9,9,1.72,1,1.288,1,2.6,1,0,System.Byte[],1,1,1.72
310,1.62,1.8,1.8,1.8,1.8,1,1,1.73,1.73,1.32,1.32,1,1,1,1,1,1,1,1,1.08,0,0,0,0,0,0,10,10,1.8,1,1.32,1,2.8,1,0,System.Byte[],1,1,1.8
311,1.692,1.88,1.88,1.88,1.88,1,1,1.778,1.778,1.352,1.352,1,1,1,1,1,1,1,1,1.088,0,0,0,0,0,0,11,11,1.88,1,1.352,1,3,1,0,System.Byte[],1,1,1.88
312,1.764,1.96,1.96,1.96,1.96,1,1,1.826,1.826,1.384,1.384,1,1,1,1,1,1,1,1,1.096,0,0,0,0,0,0,12,12,1.96,1,1.384,1,3.2,1,0,System.Byte[],1,1,1.96
313,1.836,2.04,2.04,2.04,2.04,1,1,1.874,1.874,1.416,1.416,1,1,1,1,1,1,1,1,1.104,0,0,0,0,0,0,13,13,2.04,1,1.416,1,3.4,1,0,System.Byte[],1,1,2.04
314,1.908,2.12,2.12,2.12,2.12,1,1,1.922,1.922,1.448,1.448,1,1,1,1,1,1,1,1,1.112,0,0,0,0,0,0,14,14,2.12,1,1.448,1,3.6,1,0,System.Byte[],1,1,2.12
315,1.98,2.2,2.2,2.2,2.2,1,1,1.97,1.97,1.48,1.48,1,1,1,1,1,1,1,1,1.12,0,0,0,0,0,0,15,15,2.2,1,1.48,1,3.8,1,0,System.Byte[],1,1,2.2
316,2.052,2.28,2.28,2.28,2.28,1,1,2.018,2.018,1.512,1.512,1,1,1,1,1,1,1,1,1.128,0,0,0,0,0,0,16,16,2.28,1,1.512,1,4,1,0,System.Byte[],1,1,2.28
317,2.124,2.36,2.36,2.36,2.36,1,1,2.066,2.066,1.544,1.544,1,1,1,1,1,1,1,1,1.136,0,0,0,0,0,0,17,17,2.36,1,1.544,1,4.2,1,0,System.Byte[],1,1,2.36
318,2.196,2.44,2.44,2.44,2.44,1,1,2.114,2.114,1.576,1.576,1,1,1,1,1,1,1,1,1.144,0,0,0,0,0,0,18,18,2.44,1,1.576,1,4.4,1,0,System.Byte[],1,1,2.44
319,2.268,2.52,2.52,2.52,2.52,1,1,2.162,2.162,1.608,1.608,1,1,1,1,1,1,1,1,1.152,0,0,0,0,0,0,19,19,2.52,1,1.608,1,4.6,1,0,System.Byte[],1,1,2.52
320,2.34,2.6,2.6,2.6,2.6,1,1,2.21,2.21,1.64,1.64,1,1,1,1,1,1,1,1,1.16,0,0,0,0,0,0,20,20,2.6,1,1.64,1,4.8,1,0,System.Byte[],1,1,2.6
321,2.412,2.68,2.68,2.68,2.68,1,1,2.258,2.258,1.672,1.672,1,1,1,1,1,1,1,1,1.168,0,0,0,0,0,0,21,21,2.68,1,1.672,1,5,1,0,System.Byte[],1,1,2.68
322,2.484,2.76,2.76,2.76,2.76,1,1,2.306,2.306,1.704,1.704,1,1,1,1,1,1,1,1,1.176,0,0,0,0,0,0,22,22,2.76,1,1.704,1,5.2,1,0,System.Byte[],1,1,2.76
323,2.556,2.84,2.84,2.84,2.84,1,1,2.354,2.354,1.736,1.736,1,1,1,1,1,1,1,1,1.184,0,0,0,0,0,0,23,23,2.84,1,1.736,1,5.4,1,0,System.Byte[],1,1,2.84
324,2.628,2.92,2.92,2.92,2.92,1,1,2.402,2.402,1.768,1.768,1,1,1,1,1,1,1,1,1.192,0,0,0,0,0,0,24,24,2.92,1,1.768,1,5.6,1,0,System.Byte[],1,1,2.92
325,2.7,3,3,3,3,1,1,2.45,2.45,1.8,1.8,1,1,1,1,1,1,1,1,1.2,0,0,0,0,0,0,25,25,3,1,1.8,1,5.8,1,0,System.Byte[],1,1,3
400,0.75,1,0.75,1,1,1,1,1.6,0.5,1,1,0.95,0.95,1,0.95,0.95,0.95,0.95,0.95,1,0,0,0,0,0,0,0,0,1,0.95,1,0.95,1,1,0,System.Byte[],1,1,1
401,0.782,1,0.782,1,1.08,1,1,1.68,0.542,1.032,1.032,0.95,0.95,1.01,0.95,0.95,0.95,0.95,0.95,1.008,0,0,0,0,0,0,1,1,1,0.95,1.032,0.95,1,1,0,System.Byte[],1,1,1.08
402,0.814,1,0.814,1,1.16,1,1,1.76,0.584,1.064,1.064,0.95,0.95,1.02,0.95,0.95,0.95,0.95,0.95,1.016,0,0,0,0,0,0,2,2,1,0.95,1.064,0.95,1.2,1,0,System.Byte[],1,1,1.16
403,0.846,1,0.846,1,1.24,1,1,1.84,0.626,1.096,1.096,0.95,0.95,1.03,0.95,0.95,0.95,0.95,0.95,1.024,0,0,0,0,0,0,3,3,1,0.95,1.096,0.95,1.4,1,0,System.Byte[],1,1,1.24
404,0.878,1,0.878,1,1.32,1,1,1.92,0.668,1.128,1.128,0.95,0.95,1.04,0.95,0.95,0.95,0.95,0.95,1.032,0,0,0,0,0,0,4,4,1,0.95,1.128,0.95,1.6,1,0,System.Byte[],1,1,1.32
405,0.91,1,0.91,1,1.4,1,1,2,0.71,1.16,1.16,0.95,0.95,1.05,0.95,0.95,0.95,0.95,0.95,1.04,0,0,0,0,0,0,5,5,1,0.95,1.16,0.95,1.8,1,0,System.Byte[],1,1,1.4
406,0.942,1,0.942,1,1.48,1,1,2.08,0.752,1.192,1.192,0.95,0.95,1.06,0.95,0.95,0.95,0.95,0.95,1.048,0,0,0,0,0,0,6,6,1,0.95,1.192,0.95,2,1,0,System.Byte[],1,1,1.48
407,0.974,1,0.974,1,1.56,1,1,2.16,0.794,1.224,1.224,0.95,0.95,1.07,0.95,0.95,0.95,0.95,0.95,1.056,0,0,0,0,0,0,7,7,1,0.95,1.224,0.95,2.2,1,0,System.Byte[],1,1,1.56
408,1.006,1,1.006,1,1.64,1,1,2.24,0.836,1.256,1.256,0.95,0.95,1.08,0.95,0.95,0.95,0.95,0.95,1.064,0,0,0,0,0,0,8,8,1,0.95,1.256,0.95,2.4,1,0,System.Byte[],1,1,1.64
409,1.038,1,1.038,1,1.72,1,1,2.32,0.878,1.288,1.288,0.95,0.95,1.09,0.95,0.95,0.95,0.95,0.95,1.072,0,0,0,0,0,0,9,9,1,0.95,1.288,0.95,2.6,1,0,System.Byte[],1,1,1.72
410,1.07,1,1.07,1,1.8,1,1,2.4,0.92,1.32,1.32,0.95,0.95,1.1,0.95,0.95,0.95,0.95,0.95,1.08,0,0,0,0,0,0,10,10,1,0.95,1.32,0.95,2.8,1,0,System.Byte[],1,1,1.8
411,1.102,1,1.102,1,1.88,1,1,2.48,0.962,1.352,1.352,0.95,0.95,1.11,0.95,0.95,0.95,0.95,0.95,1.088,0,0,0,0,0,0,11,11,1,0.95,1.352,0.95,3,1,0,System.Byte[],1,1,1.88
412,1.134,1,1.134,1,1.96,1,1,2.56,1.004,1.384,1.384,0.95,0.95,1.12,0.95,0.95,0.95,0.95,0.95,1.096,0,0,0,0,0,0,12,12,1,0.95,1.384,0.95,3.2,1,0,System.Byte[],1,1,1.96
