ID,disableParam_NT,disableParamReserve1,disableParamReserve2,modelMemoryType,texMemoryType,cameraDitherFadeId,reportAnimMemSizeMb
3451,0,0,System.Byte[],1,1,101,12
3460,0,0,System.Byte[],3,3,101,12
3470,0,0,System.Byte[],3,3,101,12
3471,0,0,System.Byte[],3,3,110,12
3500,0,0,System.Byte[],3,3,101,12
3510,0,0,System.Byte[],3,3,101,12
3550,0,0,System.Byte[],3,3,101,12
3560,0,0,System.Byte[],3,3,110,12
3570,0,0,System.Byte[],3,3,110,12
3600,0,0,System.Byte[],3,3,101,12
3610,0,0,System.Byte[],3,3,101,12
3620,0,0,System.Byte[],3,3,101,12
3630,0,0,System.Byte[],3,3,120,12
3640,0,0,System.Byte[],2,2,110,12
3650,0,0,System.Byte[],3,3,101,12
3660,0,0,System.Byte[],3,3,101,15
3661,0,0,System.Byte[],3,3,101,12
3662,0,0,System.Byte[],3,3,101,12
3664,0,0,System.Byte[],3,3,101,12
3665,0,0,System.Byte[],3,3,101,12
3666,0,0,System.Byte[],3,3,101,12
3670,0,0,System.Byte[],3,3,101,12
3700,0,0,System.Byte[],3,3,101,12
3701,0,0,System.Byte[],3,3,101,12
3702,0,0,System.Byte[],3,3,101,12
3703,0,0,System.Byte[],3,3,101,12
3704,0,0,System.Byte[],3,3,110,12
3710,0,0,System.Byte[],3,3,101,12
3720,0,0,System.Byte[],3,3,101,12
3730,0,0,System.Byte[],3,3,110,12
3750,0,0,System.Byte[],3,3,101,12
3800,0,0,System.Byte[],3,3,101,12
3810,0,0,System.Byte[],3,3,101,12
3850,0,0,System.Byte[],3,3,101,12
3860,0,0,System.Byte[],3,3,101,12
3900,0,0,System.Byte[],3,3,101,12
3901,0,0,System.Byte[],3,3,101,12
3910,0,0,System.Byte[],3,3,110,12
3950,0,0,System.Byte[],3,3,101,15
3970,0,0,System.Byte[],3,3,101,12
4000,0,0,System.Byte[],3,3,101,12
4020,0,0,System.Byte[],3,3,101,12
4040,0,0,System.Byte[],2,2,101,12
4050,0,0,System.Byte[],3,3,101,12
4060,0,0,System.Byte[],2,2,101,12
4070,0,0,System.Byte[],2,2,101,12
4071,0,0,System.Byte[],1,1,101,12
4080,0,0,System.Byte[],2,2,101,12
4090,0,0,System.Byte[],3,3,110,12
4100,0,0,System.Byte[],2,2,101,12
4101,0,0,System.Byte[],2,2,101,12
4110,0,0,System.Byte[],2,2,101,12
4120,0,0,System.Byte[],2,2,110,12
4130,0,0,System.Byte[],4,4,110,12
4140,0,0,System.Byte[],3,3,101,12
4150,0,0,System.Byte[],3,3,101,12
4160,0,0,System.Byte[],2,2,101,12
4161,0,0,System.Byte[],2,2,101,12
4162,0,0,System.Byte[],2,2,101,12
4163,0,0,System.Byte[],2,2,101,12
4164,0,0,System.Byte[],2,2,101,12
4165,0,0,System.Byte[],2,2,101,12
4166,0,0,System.Byte[],2,2,101,12
4167,0,0,System.Byte[],2,2,101,12
4170,0,0,System.Byte[],2,2,101,12
4171,0,0,System.Byte[],3,3,101,12
4180,0,0,System.Byte[],2,2,101,12
4190,0,0,System.Byte[],2,2,101,12
4191,0,0,System.Byte[],1,1,101,12
4192,0,0,System.Byte[],1,1,101,12
4200,0,0,System.Byte[],2,2,101,12
4201,0,0,System.Byte[],3,3,101,12
4210,0,0,System.Byte[],3,3,101,12
4220,0,0,System.Byte[],3,3,120,12
4230,0,0,System.Byte[],3,3,101,12
4240,0,0,System.Byte[],3,3,110,12
4241,0,0,System.Byte[],3,3,120,12
4250,0,0,System.Byte[],3,3,101,12
4260,0,0,System.Byte[],3,3,110,12
4270,0,0,System.Byte[],4,4,110,12
4280,0,0,System.Byte[],3,3,110,12
4281,0,0,System.Byte[],3,3,120,12
4290,0,0,System.Byte[],3,3,101,12
4300,0,0,System.Byte[],3,3,101,15
4310,0,0,System.Byte[],3,3,101,15
4311,0,0,System.Byte[],3,3,101,12
4312,0,0,System.Byte[],3,3,101,12
4313,0,0,System.Byte[],3,3,101,12
4314,0,0,System.Byte[],3,3,101,12
4315,0,0,System.Byte[],3,3,101,12
4316,0,0,System.Byte[],3,3,101,12
4321,0,0,System.Byte[],2,2,101,12
4340,0,0,System.Byte[],4,4,110,12
4341,0,0,System.Byte[],4,4,110,12
4350,0,0,System.Byte[],3,3,101,12
4351,0,0,System.Byte[],3,3,101,12
4352,0,0,System.Byte[],3,3,101,12
4353,0,0,System.Byte[],3,3,101,12
4354,0,0,System.Byte[],3,3,101,12
4355,0,0,System.Byte[],3,3,101,12
4356,0,0,System.Byte[],3,3,101,12
4358,0,0,System.Byte[],3,3,101,12
4360,0,0,System.Byte[],3,3,101,12
4361,0,0,System.Byte[],3,3,101,12
4362,0,0,System.Byte[],3,3,101,12
4363,0,0,System.Byte[],3,3,101,12
4364,0,0,System.Byte[],3,3,101,12
4365,0,0,System.Byte[],3,3,101,12
4368,0,0,System.Byte[],3,3,101,12
4370,0,0,System.Byte[],3,3,101,12
4371,0,0,System.Byte[],3,3,101,12
4372,0,0,System.Byte[],3,3,101,12
4373,0,0,System.Byte[],3,3,101,12
4374,0,0,System.Byte[],3,3,101,12
4375,0,0,System.Byte[],3,3,101,12
4376,0,0,System.Byte[],3,3,101,12
4377,0,0,System.Byte[],3,3,101,12
4380,0,0,System.Byte[],3,3,101,15
4381,0,0,System.Byte[],3,3,101,12
4382,0,0,System.Byte[],3,3,101,12
4383,0,0,System.Byte[],3,3,101,12
4384,0,0,System.Byte[],3,3,101,12
4385,0,0,System.Byte[],3,3,101,12
4420,0,0,System.Byte[],4,4,110,12
4421,0,0,System.Byte[],4,4,110,12
4430,0,0,System.Byte[],2,2,101,12
4440,0,0,System.Byte[],3,3,101,12
4441,0,0,System.Byte[],3,3,120,12
4442,0,0,System.Byte[],3,3,120,12
4450,0,0,System.Byte[],5,5,-1,12
4460,0,0,System.Byte[],4,4,120,12
4470,0,0,System.Byte[],3,3,110,12
4480,0,0,System.Byte[],3,3,110,12
4481,0,0,System.Byte[],2,2,101,12
4482,0,0,System.Byte[],3,3,110,12
4483,0,0,System.Byte[],2,2,101,12
4490,0,0,System.Byte[],3,3,110,12
4491,0,0,System.Byte[],3,3,101,12
4492,0,0,System.Byte[],7,7,120,12
4500,0,0,System.Byte[],5,5,120,12
4501,0,0,System.Byte[],5,5,120,12
4502,0,0,System.Byte[],5,5,120,12
4503,0,0,System.Byte[],5,5,120,12
4504,0,0,System.Byte[],5,5,120,12
4505,0,0,System.Byte[],5,5,120,12
4510,0,0,System.Byte[],5,5,120,12
4511,0,0,System.Byte[],5,5,120,12
4520,0,0,System.Byte[],5,5,120,12
4550,0,0,System.Byte[],3,3,110,12
4560,0,0,System.Byte[],3,3,110,12
4561,0,0,System.Byte[],3,3,110,12
4570,0,0,System.Byte[],4,4,110,12
4580,0,0,System.Byte[],4,4,120,12
4600,0,0,System.Byte[],4,4,120,12
4601,0,0,System.Byte[],4,4,120,12
4602,0,0,System.Byte[],4,4,120,12
4603,0,0,System.Byte[],4,4,120,12
4604,0,0,System.Byte[],4,4,120,12
4620,0,0,System.Byte[],6,6,120,12
4630,0,0,System.Byte[],4,3,120,12
4640,0,0,System.Byte[],4,4,120,12
4650,0,0,System.Byte[],4,4,120,12
4660,0,0,System.Byte[],5,5,120,12
4670,0,0,System.Byte[],4,4,120,12
4680,0,0,System.Byte[],4,4,120,12
4690,0,0,System.Byte[],4,4,110,12
4710,0,0,System.Byte[],6,6,120,12
4711,0,0,System.Byte[],4,6,110,12
4720,0,0,System.Byte[],5,5,110,12
4721,0,0,System.Byte[],1,1,110,12
4730,0,0,System.Byte[],5,5,120,12
4750,0,0,System.Byte[],5,5,110,12
4751,0,0,System.Byte[],3,5,101,12
4760,0,0,System.Byte[],7,7,120,12
4770,0,0,System.Byte[],5,5,120,12
4800,0,0,System.Byte[],4,4,110,12
4801,0,0,System.Byte[],3,3,101,12
4810,0,0,System.Byte[],4,4,110,12
4811,0,0,System.Byte[],4,4,110,12
4820,0,0,System.Byte[],3,3,110,12
4910,0,0,System.Byte[],4,4,120,12
4911,0,0,System.Byte[],5,5,120,12
4950,0,0,System.Byte[],3,3,101,12
4960,0,0,System.Byte[],4,4,120,12
4980,0,0,System.Byte[],5,5,110,12
6001,0,0,System.Byte[],2,2,101,1.5
6010,0,0,System.Byte[],2,2,101,1.5
6031,0,0,System.Byte[],2,2,110,1.5
6040,0,0,System.Byte[],2,2,101,1.5
6050,0,0,System.Byte[],2,2,101,1.5
6060,0,0,System.Byte[],2,2,101,1.5
6070,0,0,System.Byte[],2,2,101,1.5
6072,0,0,System.Byte[],2,2,101,1.5
6080,0,0,System.Byte[],2,2,101,1.5
6081,0,0,System.Byte[],2,2,101,1.5
6082,0,0,System.Byte[],2,2,101,1.5
6090,0,0,System.Byte[],2,2,101,1.5
6091,0,0,System.Byte[],4,4,110,1.5
6100,0,0,System.Byte[],2,2,101,1.5
7000,0,0,System.Byte[],2,2,101,12
7100,0,0,System.Byte[],2,2,101,12
8000,0,0,System.Byte[],3,3,101,12
8100,0,0,System.Byte[],3,7,2,12
8101,0,0,System.Byte[],3,7,2,12
8110,0,0,System.Byte[],3,7,2,12
8120,0,0,System.Byte[],5,7,1,12
